"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 00:43","https://sullygnome.com/channel/flawlesspls/stream/35105144176","257","20560","80","133","4","0","869","193","World of Warcraft"
"2","Saturday 27th July 2019 18:02","https://sullygnome.com/channel/flawlesspls/stream/35064228432","253","23529","93","116","18","4","765","180","World of Warcraft"
"3","Friday 26th July 2019 00:56","https://sullygnome.com/channel/flawlesspls/stream/35044730208","244","17568","72","97","19","4","586","137","World of Warcraft"
"4","Thursday 25th July 2019 01:51","https://sullygnome.com/channel/flawlesspls/stream/35033263088","189","9450","50","77","2","0","437","134","World of Warcraft"
"5","Thursday 25th July 2019 00:45","https://sullygnome.com/channel/flawlesspls/stream/35032555472","45","3105","69","87","5","6","77","102","World of Warcraft"
"6","Wednesday 24th July 2019 00:28","https://sullygnome.com/channel/flawlesspls/stream/35020149936","137","8631","63","80","6","2","314","125","World of Warcraft"
"7","Tuesday 23rd July 2019 00:54","https://sullygnome.com/channel/flawlesspls/stream/35008030928","231","23562","102","140","20","5","787","196","World of Warcraft"
"8","Friday 19th July 2019 00:52","https://sullygnome.com/channel/flawlesspls/stream/34957635776","263","27615","105","145","31","7","843","198","World of Warcraft"
"9","Thursday 18th July 2019 02:15","https://sullygnome.com/channel/flawlesspls/stream/34946132896","225","11925","53","78","8","2","666","177","World of Warcraft"
"10","Wednesday 17th July 2019 00:23","https://sullygnome.com/channel/flawlesspls/stream/34932268752","412","50676","123","330","70","10","1541","220","World of Warcraft"
"11","Friday 12th July 2019 19:17","https://sullygnome.com/channel/flawlesspls/stream/34879199248","748","175780","235","468","147","11","6586","526","World of Warcraft"
"12","Friday 12th July 2019 00:40","https://sullygnome.com/channel/flawlesspls/stream/34870255616","410","41820","102","171","21","3","963","137","World of Warcraft"
"13","Wednesday 10th July 2019 00:29","https://sullygnome.com/channel/flawlesspls/stream/34845187776","286","10582","37","72","-1","0","415","83","World of Warcraft"
"14","Tuesday 9th July 2019 15:53","https://sullygnome.com/channel/flawlesspls/stream/34839358368","337","27971","83","110","22","3","844","146","World of Warcraft"
"15","Tuesday 2nd July 2019 23:16","https://sullygnome.com/channel/flawlesspls/stream/34758025184","374","19448","52","80","-2","0","710","113","World of Warcraft"
