"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 04:33","https://sullygnome.com/channel/flight23white/stream/35107620784","222","760350","3425","4072","667","177","5426","1446","NBA 2K19,Madden NFL 20"
"2","Tuesday 30th July 2019 04:33","https://sullygnome.com/channel/flight23white/stream/35094639856","222","649128","2924","4187","469","117","5423","1355","NBA 2K19,Madden NFL 20"
"3","Monday 29th July 2019 03:49","https://sullygnome.com/channel/flight23white/stream/35081918048","281","853678","3038","4209","339","71","5797","1220","NBA 2K19,Madden NFL 20,Grand Theft Auto V"
"4","Sunday 28th July 2019 04:44","https://sullygnome.com/channel/flight23white/stream/35070387072","241","696972","2892","3538","9109","2277","5154","1288","NBA 2K19,Madden NFL 20,Grand Theft Auto V"
"5","Friday 26th July 2019 00:03","https://sullygnome.com/channel/flight23white/stream/35044168752","177","477900","2700","3371","393","131","4334","1444","Madden NFL 20,NBA 2K19"
"6","Thursday 25th July 2019 04:44","https://sullygnome.com/channel/flight23white/stream/35034811536","226","671898","2973","3819","675","168","4638","1159","NBA 2K19,Grand Theft Auto V"
"7","Wednesday 24th July 2019 03:05","https://sullygnome.com/channel/flight23white/stream/35021787904","295","910370","3086","3644","705","141","7150","1430","NBA 2K19,Grand Theft Auto V"
"8","Tuesday 23rd July 2019 06:05","https://sullygnome.com/channel/flight23white/stream/35010714032","175","475650","2718","3454","525","175","3627","1209","NBA 2K19"
"9","Monday 22nd July 2019 05:42","https://sullygnome.com/channel/flight23white/stream/34998301568","123","339480","2760","3653","523","232","3069","1364","NBA 2K19"
"10","Sunday 21st July 2019 06:09","https://sullygnome.com/channel/flight23white/stream/34986379184","186","434496","2336","2987","545","167","3512","1080","NBA 2K19,Grand Theft Auto V,Call of Duty: Black Ops 4"
"11","Friday 19th July 2019 04:07","https://sullygnome.com/channel/flight23white/stream/34959568240","188","569452","3029","4341","644","198","4920","1513","NBA 2K19"
"12","Wednesday 17th July 2019 05:03","https://sullygnome.com/channel/flight23white/stream/34934940992","222","598068","2694","3460","513","136","4479","1194","NBA 2K19"
"13","Tuesday 16th July 2019 05:25","https://sullygnome.com/channel/flight23white/stream/34922462848","185","494320","2672","3420","601","184","4058","1248","NBA 2K19,Call of Duty: Black Ops 4"
"14","Sunday 14th July 2019 22:54","https://sullygnome.com/channel/flight23white/stream/34906718128","291","749907","2577","4000","915","183","6582","1316","NBA 2K19"
"15","Friday 12th July 2019 03:33","https://sullygnome.com/channel/flight23white/stream/34872033408","192","563520","2935","3403","620","190","4769","1467","NBA 2K19"
"16","Thursday 11th July 2019 04:37","https://sullygnome.com/channel/flight23white/stream/34860106304","173","473501","2737","3275","494","164","4006","1335","NBA 2K19"
"17","Wednesday 10th July 2019 03:08","https://sullygnome.com/channel/flight23white/stream/34846871040","247","773604","3132","3982","832","195","6561","1543","NBA 2K19,Grand Theft Auto V,Call of Duty: Black Ops 4"
"18","Tuesday 9th July 2019 03:40","https://sullygnome.com/channel/flight23white/stream/34834600208","260","742040","2854","3639","718","159","5596","1243","NBA 2K19"
"19","Monday 8th July 2019 02:39","https://sullygnome.com/channel/flight23white/stream/34821639472","336","891744","2654","3468","750","130","6686","1162","NBA 2K19,Call of Duty: Black Ops 4"
"20","Sunday 7th July 2019 02:52","https://sullygnome.com/channel/flight23white/stream/34809190560","308","903980","2935","3461","842","160","6656","1267","NBA 2K19"
"21","Friday 5th July 2019 05:39","https://sullygnome.com/channel/flight23white/stream/34785627872","126","287532","2282","2834","329","146","2813","1250","NBA 2K19"
"22","Thursday 4th July 2019 05:08","https://sullygnome.com/channel/flight23white/stream/34773898464","247","693329","2807","3869","573","134","5121","1204","NBA 2K19,Grand Theft Auto V"
"23","Wednesday 3rd July 2019 04:30","https://sullygnome.com/channel/flight23white/stream/34761091168","180","524340","2913","3588","506","155","4231","1301","NBA 2K19"
"24","Tuesday 2nd July 2019 04:30","https://sullygnome.com/channel/flight23white/stream/34748555872","165","470580","2852","3913","558","186","4292","1430","NBA 2K19,Grand Theft Auto V"
"25","Monday 1st July 2019 03:58","https://sullygnome.com/channel/flight23white/stream/34736209024","227","674644","2972","3626","595","148","4589","1147","NBA 2K19,Grand Theft Auto V,Call of Duty: Black Ops 4"
