"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Welcome to the Game II","1680","436305","256","443","9769","348.892857"
"2","osu!","675","151200","228","362","5268","468.266666"
"3","Hitman: Codename 47","675","137760","209","257","4800","426.666666"
"4","Hitman 2: Silent Assassin","570","102930","191","257","4010","422.105263"
"5","The Waiting Room","450","115890","248","324","2874","383.2"
"6","Fran Bow","450","92295","204","272","2520","336"
"7","Games + Demos","375","114780","329","763","5232","837.12"
"8","Five Nights at Freddy's","285","78270","283","354","2131","448.631578"
"9","Five Nights at Freddy's 2","240","71940","299","376","2032","508"
"10","Nun Massacre","195","47595","227","333","1765","543.076923"
"11","Max Payne","180","51840","294","365","2323","774.333333"
"12","Babysitter Bloodbath","150","45870","305","413","1887","754.8"
"13","Power Drill Massacre","150","45705","313","362","2481","992.4"
"14","Slender: The Arrival","135","38640","286","339","1229","546.222222"
"15","Don't Chat With Strangers","135","54000","400","431","1120","497.777777"
"16","Granny","135","40185","324","424","1735","771.111111"
"17","Mortal Kombat 11","105","27405","272","330","1158","661.714285"
"18","SCP: Containment Breach","105","46245","440","460","1808","1033.142857"
"19","The Glass Staircase","90","25860","287","324","928","618.666666"
"20","Rides With Strangers","90","23160","257","295","847","564.666666"
"21","Just Chatting","75","15720","215","299","1237","989.6"
"22","Five Nights at Freddy's 3","75","27405","365","391","934","747.2"
"23","Nosferatu: The Wrath of Malachi","60","17040","284","316","590","590"
"24","Heroes of Might and Magic IV","60","10050","167","178","200","200"
"25","Green Elephant 2D","45","14985","333","366","372","496"
"26","Five Nights at Freddy's 4","45","14145","314","330","645","860"
"27","Amnesia: The Dark Descent","30","9090","303","330","516","1032"
"28","RF Online","30","5070","169","179","74","148"
"29","CASE: Animatronics","30","10425","347","355","516","1032"
"30","MORDHAU","15","6765","451","451","718","2872"
