"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 19:00","https://sullygnome.com/channel/foodthengames/stream/35114386368","195","2340","12","18","4","1","48","13","Warframe"
"2","Monday 29th July 2019 19:06","https://sullygnome.com/channel/foodthengames/stream/35088624336","204","3876","19","24","1","0","57","16","Mass Effect 2"
"3","Sunday 28th July 2019 19:00","https://sullygnome.com/channel/foodthengames/stream/35076781104","240","4080","17","27","0","0","68","16","Dragon Age: Inquisition"
"4","Friday 26th July 2019 19:04","https://sullygnome.com/channel/foodthengames/stream/35052986960","191","2674","14","20","-1","0","30","9","The Witcher 3: Wild Hunt"
"5","Thursday 25th July 2019 18:34","https://sullygnome.com/channel/foodthengames/stream/35040627312","161","2415","15","19","2","0","35","12","Staxel"
"6","Wednesday 24th July 2019 19:04","https://sullygnome.com/channel/foodthengames/stream/35028816880","176","1760","10","15","-1","0","27","9","Warframe"
"7","Tuesday 23rd July 2019 19:05","https://sullygnome.com/channel/foodthengames/stream/35016614912","190","3800","20","25","5","1","35","10","The Elder Scrolls V: Skyrim"
"8","Monday 22nd July 2019 19:06","https://sullygnome.com/channel/foodthengames/stream/35004178784","219","3285","15","20","1","0","33","8","A Plague Tale: Innocence"
"9","Sunday 21st July 2019 19:06","https://sullygnome.com/channel/foodthengames/stream/34992389184","204","3264","16","22","5","1","61","17","Dragon Age: Inquisition"
"10","Friday 19th July 2019 19:11","https://sullygnome.com/channel/foodthengames/stream/34966368096","169","2028","12","19","1","0","32","10","The Witcher 3: Wild Hunt"
"11","Thursday 18th July 2019 19:00","https://sullygnome.com/channel/foodthengames/stream/34953768048","180","3240","18","21","2","0","52","17","Subnautica"
"12","Wednesday 17th July 2019 18:33","https://sullygnome.com/channel/foodthengames/stream/34940920240","192","2880","15","22","7","2","43","13","Warframe"
"13","Tuesday 16th July 2019 19:07","https://sullygnome.com/channel/foodthengames/stream/34928711984","233","4194","18","26","5","1","61","15","The Elder Scrolls V: Skyrim"
"14","Monday 15th July 2019 19:06","https://sullygnome.com/channel/foodthengames/stream/34916230352","234","4212","18","26","1","0","44","11","Dragon Age: Inquisition"
"15","Sunday 14th July 2019 19:08","https://sullygnome.com/channel/foodthengames/stream/34904240464","187","2244","12","18","1","0","32","9","Warframe"
"16","Saturday 13th July 2019 19:30","https://sullygnome.com/channel/foodthengames/stream/34891907920","165","1650","10","17","0","0","38","12","The Witcher 3: Wild Hunt"
"17","Friday 12th July 2019 19:07","https://sullygnome.com/channel/foodthengames/stream/34879071520","278","3614","13","18","0","0","29","6","SOMA"
"18","Thursday 11th July 2019 19:45","https://sullygnome.com/channel/foodthengames/stream/34866688432","150","3150","21","26","1","0","59","21","The Elder Scrolls V: Skyrim"
"19","Wednesday 10th July 2019 19:11","https://sullygnome.com/channel/foodthengames/stream/34854180192","214","3852","18","25","3","0","34","9","Warframe"
"20","Tuesday 9th July 2019 19:12","https://sullygnome.com/channel/foodthengames/stream/34841666224","243","3645","15","26","-1","0","32","7","SOMA"
"21","Monday 8th July 2019 19:08","https://sullygnome.com/channel/foodthengames/stream/34829128144","217","2821","13","18","1","0","31","8","Warframe"
"22","Sunday 7th July 2019 19:15","https://sullygnome.com/channel/foodthengames/stream/34817050544","240","4320","18","28","5","1","49","12","SOMA"
"23","Saturday 6th July 2019 18:38","https://sullygnome.com/channel/foodthengames/stream/34803981024","172","1892","11","16","1","0","23","7","The Witcher 3: Wild Hunt"
"24","Friday 5th July 2019 19:15","https://sullygnome.com/channel/foodthengames/stream/34791749808","180","1980","11","17","1","0","22","6","Dragon Age: Inquisition,The Elder Scrolls V: Skyrim"
"25","Wednesday 3rd July 2019 19:07","https://sullygnome.com/channel/foodthengames/stream/34767804272","188","2068","11","14","2","0","36","11","Warframe"
"26","Tuesday 2nd July 2019 19:17","https://sullygnome.com/channel/foodthengames/stream/34755315264","193","2895","15","22","1","0","30","9","The Elder Scrolls V: Skyrim"
"27","Monday 1st July 2019 19:17","https://sullygnome.com/channel/foodthengames/stream/34742945440","208","2288","11","16","1","0","35","10","Warframe"
