"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 16:36","https://sullygnome.com/channel/forcemithrandir/stream/35112680112","219","4380","20","25","-1","0","79","21","XCOM 2: War of the Chosen"
"2","Tuesday 30th July 2019 19:49","https://sullygnome.com/channel/forcemithrandir/stream/35101804256","131","2620","20","24","0","0","44","19","XCOM 2: War of the Chosen"
"3","Tuesday 30th July 2019 16:45","https://sullygnome.com/channel/forcemithrandir/stream/35099309488","0","0","16","16","0","0","0","0","XCOM 2: War of the Chosen"
"4","Sunday 28th July 2019 16:35","https://sullygnome.com/channel/forcemithrandir/stream/35075176864","100","2200","22","30","0","0","55","31","XCOM 2: War of the Chosen"
"5","Saturday 27th July 2019 15:36","https://sullygnome.com/channel/forcemithrandir/stream/35062815616","219","4161","19","29","0","0","63","16","XCOM 2: War of the Chosen"
"6","Friday 26th July 2019 16:48","https://sullygnome.com/channel/forcemithrandir/stream/35051524832","132","2640","20","30","1","0","53","21","XCOM 2: War of the Chosen"
"7","Wednesday 24th July 2019 16:27","https://sullygnome.com/channel/forcemithrandir/stream/35027049712","168","3360","20","27","0","0","47","15","XCOM 2: War of the Chosen"
"8","Tuesday 23rd July 2019 16:23","https://sullygnome.com/channel/forcemithrandir/stream/35014753376","187","4301","23","31","1","0","39","13","XCOM 2: War of the Chosen"
"9","Monday 22nd July 2019 16:09","https://sullygnome.com/channel/forcemithrandir/stream/35002191904","171","1539","9","14","-1","0","49","17","Overwatch"
"10","Sunday 21st July 2019 16:32","https://sullygnome.com/channel/forcemithrandir/stream/34990612992","118","3894","33","39","0","0","36","18","XCOM 2: War of the Chosen"
"11","Saturday 20th July 2019 16:16","https://sullygnome.com/channel/forcemithrandir/stream/34977286624","179","5012","28","35","0","0","31","11","XCOM 2: War of the Chosen"
"12","Friday 19th July 2019 16:23","https://sullygnome.com/channel/forcemithrandir/stream/34964436512","187","5984","32","38","0","0","55","18","XCOM 2: War of the Chosen"
"13","Wednesday 17th July 2019 16:10","https://sullygnome.com/channel/forcemithrandir/stream/34939294496","155","3565","23","29","2","0","51","18","XCOM 2: War of the Chosen"
"14","Sunday 14th July 2019 16:28","https://sullygnome.com/channel/forcemithrandir/stream/34902378656","137","4521","33","40","1","0","60","24","XCOM 2: War of the Chosen"
"15","Saturday 13th July 2019 16:16","https://sullygnome.com/channel/forcemithrandir/stream/34889814944","179","4833","27","34","1","0","74","24","XCOM 2: War of the Chosen"
"16","Thursday 11th July 2019 15:58","https://sullygnome.com/channel/forcemithrandir/stream/34864436128","227","6129","27","35","-4","-1","63","16","XCOM 2: War of the Chosen"
"17","Tuesday 9th July 2019 16:08","https://sullygnome.com/channel/forcemithrandir/stream/34839522096","232","4640","20","25","0","0","66","16","XCOM 2: War of the Chosen"
"18","Sunday 7th July 2019 18:37","https://sullygnome.com/channel/forcemithrandir/stream/34816578000","38","722","19","23","0","0","13","17","XCOM 2: War of the Chosen"
"19","Sunday 7th July 2019 16:50","https://sullygnome.com/channel/forcemithrandir/stream/34815331920","55","1265","23","28","0","0","34","34","XCOM 2: War of the Chosen"
"20","Saturday 6th July 2019 17:07","https://sullygnome.com/channel/forcemithrandir/stream/34802966736","158","3318","21","25","13","5","55","22","XCOM 2: War of the Chosen"
"21","Friday 5th July 2019 16:32","https://sullygnome.com/channel/forcemithrandir/stream/34789892000","118","2360","20","30","0","0","50","25","XCOM 2: War of the Chosen"
"22","Thursday 4th July 2019 15:33","https://sullygnome.com/channel/forcemithrandir/stream/34777892464","57","855","15","17","1","1","125","125","XCOM 2: War of the Chosen,Dicey Dungeons"
"23","Thursday 4th July 2019 14:45","https://sullygnome.com/channel/forcemithrandir/stream/34777436688","30","240","8","14","1","1","90","120","XCOM 2: War of the Chosen"
"24","Wednesday 3rd July 2019 16:00","https://sullygnome.com/channel/forcemithrandir/stream/34765598832","180","4320","24","32","5","1","137","42","Crash Team Racing Nitro-Fueled"
"25","Tuesday 2nd July 2019 20:36","https://sullygnome.com/channel/forcemithrandir/stream/34756272032","99","1485","15","19","1","0","44","25","Crash Team Racing Nitro-Fueled"
"26","Tuesday 2nd July 2019 15:32","https://sullygnome.com/channel/forcemithrandir/stream/34752672240","238","6664","28","36","7","1","87","21","Crash Team Racing Nitro-Fueled"
"27","Monday 1st July 2019 16:51","https://sullygnome.com/channel/forcemithrandir/stream/34740955744","144","3888","27","41","5","1","148","49","Crash Team Racing Nitro-Fueled"
