"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 23:30","https://sullygnome.com/channel/foxhawking/stream/35117478000","240","240","1","3","0","0","14","3","World of Warships"
"2","Wednesday 31st July 2019 01:15","https://sullygnome.com/channel/foxhawking/stream/35105481056","150","300","2","4","0","0","7","2","World of Warships"
"3","Tuesday 30th July 2019 01:00","https://sullygnome.com/channel/foxhawking/stream/35092616352","285","285","1","4","2","0","15","3","Grand Theft Auto V"
"4","Sunday 28th July 2019 00:45","https://sullygnome.com/channel/foxhawking/stream/35068213824","0","0","1","1","0","0","0","0","Grand Theft Auto V"
"5","Saturday 27th July 2019 22:30","https://sullygnome.com/channel/foxhawking/stream/35066875264","75","75","1","2","0","0","6","4","PUBG: BATTLEGROUNDS"
"6","Saturday 27th July 2019 06:15","https://sullygnome.com/channel/foxhawking/stream/35059204112","120","240","2","3","0","0","10","4","Grand Theft Auto V"
"7","Saturday 27th July 2019 00:00","https://sullygnome.com/channel/foxhawking/stream/35055958368","45","45","1","3","0","0","4","4","PUBG: BATTLEGROUNDS"
"8","Wednesday 24th July 2019 23:45","https://sullygnome.com/channel/foxhawking/stream/35031928640","375","750","2","4","1","0","21","3","Grand Theft Auto V"
"9","Wednesday 24th July 2019 19:30","https://sullygnome.com/channel/foxhawking/stream/35028965264","180","360","2","3","0","0","14","4","PUBG: BATTLEGROUNDS"
"10","Tuesday 23rd July 2019 22:00","https://sullygnome.com/channel/foxhawking/stream/35018553120","375","375","1","4","-2","0","12","1","Grand Theft Auto V"
"11","Tuesday 23rd July 2019 02:30","https://sullygnome.com/channel/foxhawking/stream/35009010240","210","630","3","5","0","0","20","5","Grand Theft Auto V"
"12","Monday 22nd July 2019 18:45","https://sullygnome.com/channel/foxhawking/stream/35003761248","270","1080","4","7","3","0","33","6","Grand Theft Auto V"
"13","Sunday 21st July 2019 04:18","https://sullygnome.com/channel/foxhawking/stream/34985623696","132","528","4","10","0","0","32","12","Grand Theft Auto V"
"14","Sunday 21st July 2019 00:45","https://sullygnome.com/channel/foxhawking/stream/34983642272","180","360","2","3","0","0","5","1","Grand Theft Auto V"
"15","Saturday 20th July 2019 18:15","https://sullygnome.com/channel/foxhawking/stream/34979388544","315","630","2","5","1","0","27","4","Grand Theft Auto V"
"16","Saturday 20th July 2019 04:30","https://sullygnome.com/channel/foxhawking/stream/34972147600","90","90","1","3","0","0","7","4","Grand Theft Auto V"
"17","Saturday 20th July 2019 00:30","https://sullygnome.com/channel/foxhawking/stream/34969713008","150","300","2","4","-1","0","14","5","Grand Theft Auto V"
"18","Friday 19th July 2019 20:56","https://sullygnome.com/channel/foxhawking/stream/34967611616","169","845","5","11","1","0","22","7","Grand Theft Auto V"
"19","Friday 19th July 2019 02:30","https://sullygnome.com/channel/foxhawking/stream/34958662608","195","390","2","5","0","0","24","6","Grand Theft Auto V"
