"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","VRChat","1455","6495","3","25","229","9.443298"
"2","Beat Saber","750","2145","2","6","122","9.76"
"3","Divinity: Original Sin II","255","585","2","5","21","4.941176"
"4","Minecraft","180","690","3","8","20","6.666666"
"5","Just Chatting","150","795","5","8","24","9.6"
"6","Kingdoms and Castles","135","660","4","7","7","3.111111"
"7","Muse Dash","120","600","4","8","20","10"
"8","Microsoft Flight Simulator X","105","435","4","6","17","9.714285"
"9","Poker","45","150","3","4","21","28"
"10","Cities: Skylines","30","60","2","2","9","18"
