"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 14:56","https://sullygnome.com/channel/friendlyfyre2k/stream/35110450080","94","752","8","13","0","0","43","9","Grand Theft Auto V"
"2","Tuesday 30th July 2019 12:08","https://sullygnome.com/channel/friendlyfyre2k/stream/35097188048","292","2336","8","12","2","0","39","8","Grand Theft Auto V"
"3","Sunday 28th July 2019 12:38","https://sullygnome.com/channel/friendlyfyre2k/stream/35073182176","217","2170","10","17","3","0","32","8","Grand Theft Auto V"
"4","Friday 26th July 2019 12:32","https://sullygnome.com/channel/friendlyfyre2k/stream/35049418048","268","1340","5","10","2","0","28","6","Grand Theft Auto V"
"5","Friday 26th July 2019 12:00","https://sullygnome.com/channel/friendlyfyre2k/stream/35049144016","30","150","5","7","1","1","1","1","Grand Theft Auto V"
"6","Thursday 25th July 2019 13:00","https://sullygnome.com/channel/friendlyfyre2k/stream/35037526864","135","945","7","10","1","0","22","8","Grand Theft Auto V"
"7","Tuesday 23rd July 2019 12:34","https://sullygnome.com/channel/friendlyfyre2k/stream/35011941248","206","1236","6","10","-1","0","27","4","Grand Theft Auto V"
"8","Monday 22nd July 2019 12:16","https://sullygnome.com/channel/friendlyfyre2k/stream/35000318144","239","2868","12","16","6","1","31","8","Grand Theft Auto V"
"9","Sunday 21st July 2019 12:33","https://sullygnome.com/channel/friendlyfyre2k/stream/34988548032","252","1260","5","8","1","0","28","6","Grand Theft Auto V"
"10","Saturday 20th July 2019 12:44","https://sullygnome.com/channel/friendlyfyre2k/stream/34975283392","241","2169","9","14","10","2","26","6","Grand Theft Auto V"
"11","Saturday 20th July 2019 12:30","https://sullygnome.com/channel/friendlyfyre2k/stream/34975098240","0","0","6","6","0","0","0","0","Grand Theft Auto V"
"12","Wednesday 17th July 2019 12:56","https://sullygnome.com/channel/friendlyfyre2k/stream/34937613376","214","856","4","9","0","0","6","1","Detroit: Become Human"
"13","Tuesday 16th July 2019 14:45","https://sullygnome.com/channel/friendlyfyre2k/stream/34925615728","75","300","4","10","0","0","8","5","Red Dead Redemption 2"
"14","Tuesday 16th July 2019 12:19","https://sullygnome.com/channel/friendlyfyre2k/stream/34924710816","116","580","5","10","2","1","9","4","Apex Legends"
"15","Saturday 13th July 2019 12:41","https://sullygnome.com/channel/friendlyfyre2k/stream/34887663968","229","687","3","7","0","0","10","2","Apex Legends"
"16","Wednesday 10th July 2019 15:45","https://sullygnome.com/channel/friendlyfyre2k/stream/34851725264","60","180","3","6","-1","0","7","5","Apex Legends"
"17","Wednesday 10th July 2019 13:00","https://sullygnome.com/channel/friendlyfyre2k/stream/34850209424","135","270","2","4","1","0","3","1","Apex Legends"
"18","Saturday 6th July 2019 12:45","https://sullygnome.com/channel/friendlyfyre2k/stream/34800538320","255","510","2","3","-1","0","11","2","Apex Legends"
"19","Friday 5th July 2019 12:45","https://sullygnome.com/channel/friendlyfyre2k/stream/34787942592","240","960","4","8","0","0","12","2","Apex Legends"
"20","Friday 5th July 2019 12:15","https://sullygnome.com/channel/friendlyfyre2k/stream/34787724624","0","0","3","5","0","0","3","12","Apex Legends"
"21","Wednesday 3rd July 2019 12:38","https://sullygnome.com/channel/friendlyfyre2k/stream/34763921008","232","928","4","7","-10","-2","15","3","Apex Legends"
"22","Tuesday 2nd July 2019 17:58","https://sullygnome.com/channel/friendlyfyre2k/stream/34754281008","257","771","3","6","0","0","8","1","Apex Legends"
"23","Tuesday 2nd July 2019 11:37","https://sullygnome.com/channel/friendlyfyre2k/stream/34750838800","113","339","3","6","0","0","4","2","Apex Legends"
