"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 17:14","https://sullygnome.com/channel/furiousrexus/stream/35113103584","226","226","1","5","0","0","11","2","DayZ"
"2","Tuesday 30th July 2019 17:35","https://sullygnome.com/channel/furiousrexus/stream/35100132960","280","1680","6","12","0","0","37","7","DayZ"
"3","Saturday 27th July 2019 18:38","https://sullygnome.com/channel/furiousrexus/stream/35064610144","217","1302","6","10","2","0","34","9","DayZ"
"4","Friday 26th July 2019 17:41","https://sullygnome.com/channel/furiousrexus/stream/35052049712","289","2601","9","23","8","1","70","14","DayZ"
"5","Wednesday 24th July 2019 17:45","https://sullygnome.com/channel/furiousrexus/stream/35027673328","270","810","3","7","-1","0","34","7","DayZ"
"6","Tuesday 23rd July 2019 18:15","https://sullygnome.com/channel/furiousrexus/stream/35015992960","255","2040","8","11","5","1","34","8","DayZ"
"7","Monday 22nd July 2019 17:31","https://sullygnome.com/channel/furiousrexus/stream/35003023424","299","2093","7","13","0","0","44","8","DayZ"
"8","Sunday 21st July 2019 17:20","https://sullygnome.com/channel/furiousrexus/stream/34991132752","235","940","4","6","1","0","25","6","DayZ,Just Chatting"
"9","Saturday 20th July 2019 17:30","https://sullygnome.com/channel/furiousrexus/stream/34978063984","255","1530","6","10","0","0","18","4","DayZ"
"10","Friday 19th July 2019 17:24","https://sullygnome.com/channel/furiousrexus/stream/34965080784","306","1836","6","14","2","0","56","11","DayZ"
"11","Thursday 18th July 2019 16:57","https://sullygnome.com/channel/furiousrexus/stream/34952315552","318","2226","7","12","-1","0","48","8","DayZ"
"12","Wednesday 17th July 2019 18:14","https://sullygnome.com/channel/furiousrexus/stream/34940681904","226","1582","7","13","0","0","17","4","DayZ"
"13","Tuesday 16th July 2019 18:46","https://sullygnome.com/channel/furiousrexus/stream/34928432272","254","2794","11","15","4","0","45","10","DayZ"
"14","Monday 15th July 2019 18:30","https://sullygnome.com/channel/furiousrexus/stream/34915551632","300","2100","7","12","2","0","24","4","DayZ"
"15","Saturday 13th July 2019 14:16","https://sullygnome.com/channel/furiousrexus/stream/34888709248","434","2604","6","13","3","0","44","6","DayZ"
"16","Friday 12th July 2019 18:15","https://sullygnome.com/channel/furiousrexus/stream/34878373120","285","570","2","4","0","0","15","3","DayZ"
"17","Thursday 11th July 2019 18:46","https://sullygnome.com/channel/furiousrexus/stream/34866332112","314","8164","26","57","10","1","52","9","DayZ"
"18","Wednesday 10th July 2019 18:08","https://sullygnome.com/channel/furiousrexus/stream/34853344928","292","8468","29","58","1","0","159","30","DayZ"
"19","Tuesday 9th July 2019 18:00","https://sullygnome.com/channel/furiousrexus/stream/34840717632","315","945","3","6","0","0","15","2","DayZ"
"20","Tuesday 9th July 2019 12:30","https://sullygnome.com/channel/furiousrexus/stream/34837525984","120","360","3","6","0","0","11","4","DayZ"
"21","Monday 8th July 2019 18:45","https://sullygnome.com/channel/furiousrexus/stream/34828726080","210","630","3","5","6","1","10","2","DayZ"
"22","Sunday 7th July 2019 18:13","https://sullygnome.com/channel/furiousrexus/stream/34816283088","272","1088","4","10","-5","-1","22","4","DayZ"
"23","Saturday 6th July 2019 18:15","https://sullygnome.com/channel/furiousrexus/stream/34803634544","285","1425","5","11","1","0","40","8","DayZ"
"24","Friday 5th July 2019 19:00","https://sullygnome.com/channel/furiousrexus/stream/34791551808","315","2205","7","13","7","1","53","9","DayZ"
"25","Friday 5th July 2019 11:00","https://sullygnome.com/channel/furiousrexus/stream/34787293536","165","330","2","6","0","0","10","3","DayZ"
"26","Thursday 4th July 2019 17:30","https://sullygnome.com/channel/furiousrexus/stream/34779077328","255","1530","6","10","0","0","25","5","DayZ"
"27","Wednesday 3rd July 2019 18:57","https://sullygnome.com/channel/furiousrexus/stream/34767669440","228","912","4","7","0","0","20","5","DayZ"
"28","Tuesday 2nd July 2019 18:57","https://sullygnome.com/channel/furiousrexus/stream/34755058864","168","840","5","10","1","0","19","6","Pillars of Eternity"
"29","Monday 1st July 2019 18:48","https://sullygnome.com/channel/furiousrexus/stream/34742570928","192","1152","6","10","0","0","10","3","Pillars of Eternity"
