"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 00:45","https://sullygnome.com/channel/gonzzo199/stream/35104860512","480","480","1","3","0","0","19","2","Teamfight Tactics,Just Chatting,League of Legends"
"2","Tuesday 30th July 2019 20:45","https://sullygnome.com/channel/gonzzo199/stream/35102385104","120","240","2","5","0","0","3","1","Moonlighter"
"3","Tuesday 30th July 2019 05:15","https://sullygnome.com/channel/gonzzo199/stream/35094902544","120","240","2","3","1","0","4","1","Moonlighter"
"4","Tuesday 30th July 2019 02:00","https://sullygnome.com/channel/gonzzo199/stream/35093187056","90","180","2","5","0","0","8","4","Moonlighter"
"5","Monday 22nd July 2019 06:00","https://sullygnome.com/channel/gonzzo199/stream/34998362592","15","30","2","4","0","0","3","6","League of Legends"
"6","Wednesday 10th July 2019 13:55","https://sullygnome.com/channel/gonzzo199/stream/34850888272","155","155","1","3","0","0","2","0","Teamfight Tactics,League of Legends"
"7","Monday 8th July 2019 05:45","https://sullygnome.com/channel/gonzzo199/stream/34822944816","15","15","1","1","0","0","0","0","Tom Clancy's Rainbow Six Siege"
"8","Saturday 6th July 2019 06:15","https://sullygnome.com/channel/gonzzo199/stream/34798113200","225","225","1","5","0","0","3","0","Tom Clancy's Rainbow Six Siege"
"9","Saturday 6th July 2019 05:45","https://sullygnome.com/channel/gonzzo199/stream/34798047520","0","0","0","0","0","0","0","0","League of Legends"
"10","Saturday 6th July 2019 00:30","https://sullygnome.com/channel/gonzzo199/stream/34795090944","60","60","1","2","-1","0","3","2","League of Legends"
"11","Friday 5th July 2019 23:45","https://sullygnome.com/channel/gonzzo199/stream/34794672944","15","15","1","2","-1","-2","2","4","Teamfight Tactics"
"12","Friday 5th July 2019 19:45","https://sullygnome.com/channel/gonzzo199/stream/34792043424","30","30","1","1","0","0","2","2","Teamfight Tactics"
"13","Friday 5th July 2019 07:30","https://sullygnome.com/channel/gonzzo199/stream/34786099088","150","150","1","3","0","0","4","1","Tom Clancy's Rainbow Six Siege,Overwatch"
"14","Thursday 4th July 2019 05:45","https://sullygnome.com/channel/gonzzo199/stream/34774125408","180","540","3","8","2","0","5","1","Minecraft,Apex Legends,Tom Clancy's Rainbow Six Siege"
"15","Wednesday 3rd July 2019 06:00","https://sullygnome.com/channel/gonzzo199/stream/34761726080","120","240","2","6","1","0","4","1","Tom Clancy's Rainbow Six Siege"
"16","Tuesday 2nd July 2019 06:17","https://sullygnome.com/channel/gonzzo199/stream/34749207968","118","354","3","6","2","1","0","0","Tom Clancy's Rainbow Six Siege"
