"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Empyrion - Galactic Survival","3690","12525","2","7","286","4.650406"
"2","TerraTech","2355","6945","2","7","263","6.700636"
"3","ARK: Survival Evolved","2325","8760","2","9","418","10.787096"
"4","Oxygen Not Included","1215","4800","3","9","171","8.444444"
"5","Astroneer","885","2565","2","6","114","7.728813"
"6","Planet Nomads","345","1200","3","5","22","3.826086"
"7","Subnautica: Below Zero","270","855","3","5","46","10.222222"
"8","Spore","75","255","2","4","6","4.8"
"9","StarsOne","30","60","2","2","0","0"
"10","Planet Explorers","15","30","2","2","0","0"
