"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Thursday 25th July 2019 14:00","https://sullygnome.com/channel/gameurfifou/stream/35037817600","30","0","0","1","0","0","0","0","Rocket League"
"2","Sunday 21st July 2019 14:45","https://sullygnome.com/channel/gameurfifou/stream/34989496416","30","30","1","1","0","0","0","0","Grand Theft Auto V"
"3","Saturday 20th July 2019 17:45","https://sullygnome.com/channel/gameurfifou/stream/34978337648","45","90","2","3","0","0","2","2","Fortnite"
"4","Friday 19th July 2019 12:15","https://sullygnome.com/channel/gameurfifou/stream/34962275136","150","150","1","6","2","0","2","0","Fortnite"
"5","Wednesday 17th July 2019 19:45","https://sullygnome.com/channel/gameurfifou/stream/34941056528","15","45","3","4","0","0","0","0","Grand Theft Auto V"
"6","Saturday 13th July 2019 18:00","https://sullygnome.com/channel/gameurfifou/stream/34890876704","45","45","1","2","0","0","2","2","God of War"
"7","Saturday 13th July 2019 13:45","https://sullygnome.com/channel/gameurfifou/stream/34888342880","105","105","1","4","0","0","1","0","Fortnite"
"8","Tuesday 9th July 2019 17:30","https://sullygnome.com/channel/gameurfifou/stream/34840314512","0","0","2","2","0","0","0","0","Rocket League"
"9","Monday 8th July 2019 18:45","https://sullygnome.com/channel/gameurfifou/stream/34828745472","90","360","4","9","-1","0","6","3","Unlisted on Twitch,Horizon Zero Dawn"
"10","Sunday 7th July 2019 19:00","https://sullygnome.com/channel/gameurfifou/stream/34816784784","150","600","4","9","1","0","20","7","Unlisted on Twitch,Horizon Zero Dawn"
"11","Wednesday 3rd July 2019 18:00","https://sullygnome.com/channel/gameurfifou/stream/34766916000","45","225","5","8","1","1","2","2","Horizon Zero Dawn"
