"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 02:48","https://sullygnome.com/channel/gassymexican/stream/35106612000","327","310323","949","1144","6","1","7226","1256","The Blackout Club"
"2","Sunday 28th July 2019 00:30","https://sullygnome.com/channel/gassymexican/stream/35068133472","240","253200","1055","1220","18","4","4479","1119","The Elder Scrolls V: Skyrim"
"3","Wednesday 24th July 2019 03:41","https://sullygnome.com/channel/gassymexican/stream/35022109344","229","163735","715","870","8","2","2993","748","Grand Theft Auto V,Rocket League"
"4","Tuesday 23rd July 2019 19:40","https://sullygnome.com/channel/gassymexican/stream/35017034096","200","161800","809","993","85","24","4241","1211","Sea of Thieves"
"5","Tuesday 23rd July 2019 02:30","https://sullygnome.com/channel/gassymexican/stream/35009058176","360","309240","859","1168","24","4","5026","837","Just Chatting,Rocket League"
"6","Sunday 21st July 2019 02:09","https://sullygnome.com/channel/gassymexican/stream/34984496032","501","489978","978","1135","10","1","5723","693","7 Days to Die"
"7","Friday 19th July 2019 02:14","https://sullygnome.com/channel/gassymexican/stream/34958525856","436","418560","960","1203","6","0","4795","685","7 Days to Die"
"8","Thursday 18th July 2019 01:52","https://sullygnome.com/channel/gassymexican/stream/34945876464","413","397719","963","1438","8","1","6262","894","7 Days to Die"
"9","Sunday 14th July 2019 05:00","https://sullygnome.com/channel/gassymexican/stream/34897495936","285","228570","802","944","6","1","3973","794","Human: Fall Flat"
"10","Saturday 13th July 2019 01:29","https://sullygnome.com/channel/gassymexican/stream/34883196016","421","484992","1152","1343","21","3","7992","1141","Just Chatting,Sea of Thieves,Pummel Party,Ultimate Chicken Horse,Golf With Your Friends"
"11","Friday 12th July 2019 02:09","https://sullygnome.com/channel/gassymexican/stream/34871228912","381","385953","1013","1251","19","2","5588","859","Deep Rock Galactic"
"12","Thursday 11th July 2019 03:46","https://sullygnome.com/channel/gassymexican/stream/34859719952","269","213048","792","955","6","1","8424","1872","Anno 1800,Just Chatting"
"13","Wednesday 10th July 2019 02:43","https://sullygnome.com/channel/gassymexican/stream/34846630992","182","116844","642","848","4","1","3652","1123","DayZ"
"14","Monday 8th July 2019 03:08","https://sullygnome.com/channel/gassymexican/stream/34821891984","307","389276","1268","1473","40","7","17642","3360","Deep Rock Galactic"
"15","Sunday 7th July 2019 02:20","https://sullygnome.com/channel/gassymexican/stream/34808799200","325","359125","1105","1352","29","5","10072","1751","Magicka,Deep Rock Galactic"
"16","Friday 5th July 2019 02:57","https://sullygnome.com/channel/gassymexican/stream/34784511024","303","319059","1053","1217","38","7","18643","3551","DayZ,HITMAN"
"17","Wednesday 3rd July 2019 03:18","https://sullygnome.com/channel/gassymexican/stream/34760560752","372","360840","970","1138","17","2","4707","753","HITMAN 2"
"18","Tuesday 2nd July 2019 04:43","https://sullygnome.com/channel/gassymexican/stream/34748647088","287","503111","1753","2766","126","25","7031","1406","HITMAN 2"
"19","Monday 1st July 2019 07:59","https://sullygnome.com/channel/gassymexican/stream/34737541936","181","185887","1027","1226","-9","-3","9201","3067","For the King"
