"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 14:00","https://sullygnome.com/channel/giuse360/stream/35111261840","135","29700","220","298","25","11","542","240","FIFA 19"
"2","Tuesday 30th July 2019 14:15","https://sullygnome.com/channel/giuse360/stream/35098038752","210","78960","376","676","103","27","1562","416","eFootball PES 2020,FIFA 19"
"3","Sunday 28th July 2019 14:01","https://sullygnome.com/channel/giuse360/stream/35073808640","134","32964","246","279","36","16","532","236","FIFA 19"
"4","Saturday 27th July 2019 14:02","https://sullygnome.com/channel/giuse360/stream/35062018064","253","57431","227","341","57","13","851","200","FIFA 19"
"5","Friday 26th July 2019 14:01","https://sullygnome.com/channel/giuse360/stream/35050064624","224","47712","213","282","50","13","961","256","FIFA 19,Pro Evolution Soccer 2019"
"6","Thursday 25th July 2019 14:00","https://sullygnome.com/channel/giuse360/stream/35038012288","270","62370","231","318","80","17","1436","319","FIFA 19,Pro Evolution Soccer 2019"
"7","Wednesday 24th July 2019 14:01","https://sullygnome.com/channel/giuse360/stream/35025789392","239","56165","235","330","56","14","1142","285","FIFA 19"
"8","Tuesday 23rd July 2019 14:00","https://sullygnome.com/channel/giuse360/stream/35013501568","195","43485","223","313","51","15","625","192","FIFA 19,Minecraft"
"9","Sunday 21st July 2019 14:00","https://sullygnome.com/channel/giuse360/stream/34989253168","225","59175","263","461","49","13","853","227","FIFA 19,Pro Evolution Soccer 2019"
"10","Saturday 20th July 2019 14:00","https://sullygnome.com/channel/giuse360/stream/34975935520","240","87120","363","830","94","23","1535","383","FIFA 19,Pro Evolution Soccer 2019,Fortnite"
"11","Friday 19th July 2019 14:01","https://sullygnome.com/channel/giuse360/stream/34963138592","239","82455","345","427","74","18","1400","350","FIFA 19"
"12","Thursday 18th July 2019 14:01","https://sullygnome.com/channel/giuse360/stream/34950715600","269","81238","302","403","70","16","1355","318","FIFA 19,Pro Evolution Soccer 2019"
"13","Wednesday 17th July 2019 14:06","https://sullygnome.com/channel/giuse360/stream/34938168832","249","69969","281","360","65","15","1332","313","FIFA 19,Pro Evolution Soccer 2019,Minecraft"
"14","Tuesday 16th July 2019 14:00","https://sullygnome.com/channel/giuse360/stream/34925483152","270","85590","317","474","76","16","1826","405","FIFA 19,Pro Evolution Soccer 2019,Minecraft"
"15","Monday 15th July 2019 14:02","https://sullygnome.com/channel/giuse360/stream/34913062896","253","125488","496","1110","151","35","2114","497","FIFA 19,Minecraft"
"16","Sunday 14th July 2019 14:00","https://sullygnome.com/channel/giuse360/stream/34900996688","255","68340","268","350","70","16","1202","282","FIFA 19"
"17","Saturday 13th July 2019 14:00","https://sullygnome.com/channel/giuse360/stream/34888572288","240","60720","253","339","67","16","1400","350","FIFA 19,Minecraft"
"18","Friday 12th July 2019 14:15","https://sullygnome.com/channel/giuse360/stream/34875917600","255","63750","250","345","71","15","1338","297","FIFA 19,Minecraft"
"19","Thursday 11th July 2019 14:01","https://sullygnome.com/channel/giuse360/stream/34863421664","254","78740","310","691","104","24","1435","337","FIFA 19,Fortnite"
"20","Wednesday 10th July 2019 14:03","https://sullygnome.com/channel/giuse360/stream/34850958960","252","89712","356","635","105","24","2305","542","FIFA 19,Dead Island,Pro Evolution Soccer 2019"
"21","Tuesday 9th July 2019 14:15","https://sullygnome.com/channel/giuse360/stream/34838369360","270","89910","333","459","165","34","1904","400","FIFA 19,Alien: Isolation"
"22","Monday 8th July 2019 14:15","https://sullygnome.com/channel/giuse360/stream/34825895888","225","89775","399","521","82","20","1353","338","FIFA 19"
"23","Sunday 7th July 2019 16:15","https://sullygnome.com/channel/giuse360/stream/34814995808","135","40230","298","426","64","28","1082","480","FIFA 19"
"24","Sunday 7th July 2019 14:00","https://sullygnome.com/channel/giuse360/stream/34813756672","120","38760","323","400","57","28","1110","555","FIFA 19"
"25","Saturday 6th July 2019 14:00","https://sullygnome.com/channel/giuse360/stream/34801205232","255","59670","234","339","50","11","1231","289","FIFA 19,Crash Team Racing Nitro-Fueled"
"26","Friday 5th July 2019 14:00","https://sullygnome.com/channel/giuse360/stream/34788556624","300","95700","319","405","85","17","1623","341","FIFA 19,Crash Team Racing Nitro-Fueled"
"27","Thursday 4th July 2019 14:15","https://sullygnome.com/channel/giuse360/stream/34777091056","285","104025","365","524","121","24","1701","340","FIFA 19,Crash Team Racing Nitro-Fueled"
"28","Wednesday 3rd July 2019 14:15","https://sullygnome.com/channel/giuse360/stream/34764574240","285","184395","647","1202","231","46","3513","702","FIFA 19"
"29","Tuesday 2nd July 2019 14:01","https://sullygnome.com/channel/giuse360/stream/34751862240","284","105080","370","541","68","15","1705","378","FIFA 19,Crash Team Racing Nitro-Fueled"
"30","Monday 1st July 2019 14:01","https://sullygnome.com/channel/giuse360/stream/34739645888","299","95979","321","512","100","20","1980","396","FIFA 19,Crash Team Racing Nitro-Fueled"
