"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Thursday 25th July 2019 20:45","https://sullygnome.com/channel/gkikos/stream/35042056032","90","360","4","7","0","0","47","26","Fortnite,PUBG: BATTLEGROUNDS"
"2","Thursday 25th July 2019 20:15","https://sullygnome.com/channel/gkikos/stream/35041480112","0","0","6","7","0","0","7","28","Fortnite"
"3","Thursday 25th July 2019 19:45","https://sullygnome.com/channel/gkikos/stream/35041391680","0","0","5","5","0","0","0","0","Fortnite"
"4","Wednesday 24th July 2019 20:45","https://sullygnome.com/channel/gkikos/stream/35029759072","60","300","5","11","2","1","16","12","PUBG: BATTLEGROUNDS"
"5","Saturday 20th July 2019 20:21","https://sullygnome.com/channel/gkikos/stream/34980909968","114","456","4","7","3","1","15","7","Fortnite,PUBG: BATTLEGROUNDS"
"6","Friday 19th July 2019 00:42","https://sullygnome.com/channel/gkikos/stream/34957538768","333","1665","5","13","10","1","74","12","Apex Legends,Fortnite,PUBG: BATTLEGROUNDS"
"7","Friday 19th July 2019 00:15","https://sullygnome.com/channel/gkikos/stream/34956987360","0","0","5","6","1","4","1","4","League of Legends"
"8","Thursday 18th July 2019 23:22","https://sullygnome.com/channel/gkikos/stream/34956495920","8","40","5","6","0","0","17","34","League of Legends"
"9","Tuesday 16th July 2019 14:15","https://sullygnome.com/channel/gkikos/stream/34925548656","150","450","3","7","1","0","52","18","PUBG: BATTLEGROUNDS,Counter-Strike: Global Offensive"
"10","Monday 15th July 2019 20:30","https://sullygnome.com/channel/gkikos/stream/34917128672","45","270","6","8","1","1","26","26","PUBG: BATTLEGROUNDS"
"11","Monday 15th July 2019 19:00","https://sullygnome.com/channel/gkikos/stream/34916001024","60","240","4","8","1","0","27","21","League of Legends"
"12","Tuesday 9th July 2019 23:45","https://sullygnome.com/channel/gkikos/stream/34844603360","120","240","2","5","1","0","17","7","Counter-Strike: Global Offensive,Rocket League"
