"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Tuesday 30th July 2019 17:41","https://sullygnome.com/channel/glownykomin35/stream/35099968720","109","545","5","7","3","1","51","22","Tom Clancy's Rainbow Six Siege"
"2","Monday 29th July 2019 14:57","https://sullygnome.com/channel/glownykomin35/stream/35085932656","123","861","7","16","0","0","34","17","Teamfight Tactics"
"3","Saturday 27th July 2019 18:15","https://sullygnome.com/channel/glownykomin35/stream/35064414096","150","450","3","8","4","1","32","11","Just Chatting,Counter-Strike,Teamfight Tactics,League of Legends"
"4","Friday 26th July 2019 15:23","https://sullygnome.com/channel/glownykomin35/stream/35050740640","127","254","2","5","0","0","18","8","Teamfight Tactics"
"5","Thursday 25th July 2019 14:00","https://sullygnome.com/channel/glownykomin35/stream/35037907312","90","360","4","6","-1","0","12","6","Teamfight Tactics"
"6","Wednesday 17th July 2019 14:00","https://sullygnome.com/channel/glownykomin35/stream/34938124816","120","480","4","8","0","0","26","11","Just Chatting,Teamfight Tactics"
"7","Monday 15th July 2019 13:42","https://sullygnome.com/channel/glownykomin35/stream/34912903536","183","1281","7","11","1","0","52","16","Just Chatting,Teamfight Tactics,Counter-Strike"
"8","Friday 12th July 2019 14:15","https://sullygnome.com/channel/glownykomin35/stream/34875892864","150","750","5","9","2","0","28","10","Teamfight Tactics,Just Chatting"
"9","Monday 8th July 2019 14:10","https://sullygnome.com/channel/glownykomin35/stream/34825977984","170","510","3","7","0","0","36","12","Just Chatting,Teamfight Tactics"
"10","Saturday 6th July 2019 20:59","https://sullygnome.com/channel/glownykomin35/stream/34805674336","211","1477","7","10","1","0","50","13","Teamfight Tactics"
"11","Thursday 4th July 2019 14:30","https://sullygnome.com/channel/glownykomin35/stream/34777331072","270","1620","6","12","0","0","76","16","Just Chatting,Teamfight Tactics"
"12","Wednesday 3rd July 2019 14:30","https://sullygnome.com/channel/glownykomin35/stream/34764840240","165","495","3","6","1","0","53","17","Just Chatting,Teamfight Tactics"
