"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Monday 29th July 2019 18:00","https://sullygnome.com/channel/groxsko/stream/35087616336","45","135","3","6","-1","-1","15","15","Team Fortress 2"
"2","Thursday 11th July 2019 17:00","https://sullygnome.com/channel/groxsko/stream/34865048608","105","210","2","3","0","0","7","3","Rust"
"3","Tuesday 9th July 2019 17:30","https://sullygnome.com/channel/groxsko/stream/34840316352","75","150","2","3","0","0","11","7","Krunker,Just Chatting"
"4","Monday 8th July 2019 15:45","https://sullygnome.com/channel/groxsko/stream/34826747408","30","30","1","1","0","0","5","6","Rust"
"5","Sunday 7th July 2019 10:15","https://sullygnome.com/channel/groxsko/stream/34812093856","105","315","3","5","1","0","18","9","Krunker,Rust"
"6","Thursday 4th July 2019 13:15","https://sullygnome.com/channel/groxsko/stream/34776707952","90","180","2","4","1","0","23","13","Krunker,Rust"
"7","Wednesday 3rd July 2019 14:45","https://sullygnome.com/channel/groxsko/stream/34764836160","45","180","4","6","12","12","19","19","Krunker"
"8","Tuesday 2nd July 2019 14:00","https://sullygnome.com/channel/groxsko/stream/34751722368","45","315","7","10","4","4","20","20","Krunker"
"9","Monday 1st July 2019 15:47","https://sullygnome.com/channel/groxsko/stream/34740568816","133","798","6","9","3","1","35","17","Krunker"
"10","Monday 1st July 2019 11:37","https://sullygnome.com/channel/groxsko/stream/34738648208","38","456","12","16","1","1","32","42","Krunker"
