"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 01:00","https://sullygnome.com/channel/headshotchick/stream/35105356928","210","19950","95","121","103","29","294","84","Fortnite"
"2","Sunday 28th July 2019 20:27","https://sullygnome.com/channel/headshotchick/stream/35077689984","468","56160","120","169","279","36","833","107","Fortnite"
"3","Thursday 25th July 2019 00:57","https://sullygnome.com/channel/headshotchick/stream/35032682576","228","27132","119","148","154","41","410","109","Fortnite"
"4","Wednesday 24th July 2019 01:00","https://sullygnome.com/channel/headshotchick/stream/35020501728","225","26550","118","166","165","44","425","113","Fortnite"
"5","Saturday 20th July 2019 16:00","https://sullygnome.com/channel/headshotchick/stream/34977096416","660","67980","103","132","274","24","1211","110","Fortnite"
"6","Friday 19th July 2019 23:59","https://sullygnome.com/channel/headshotchick/stream/34969518256","391","43401","111","142","221","35","615","98","Fortnite"
"7","Thursday 18th July 2019 01:00","https://sullygnome.com/channel/headshotchick/stream/34945299248","195","23790","122","142","111","34","364","112","Fortnite"
"8","Wednesday 17th July 2019 00:59","https://sullygnome.com/channel/headshotchick/stream/34932664480","256","31232","122","166","201","44","508","112","Fortnite"
"9","Sunday 14th July 2019 17:58","https://sullygnome.com/channel/headshotchick/stream/34903376192","317","43429","137","172","216","39","806","146","Fortnite"
"10","Saturday 13th July 2019 19:58","https://sullygnome.com/channel/headshotchick/stream/34892321808","377","54288","144","200","266","40","821","126","Fortnite"
"11","Saturday 13th July 2019 00:04","https://sullygnome.com/channel/headshotchick/stream/34882310736","581","637938","1098","4123","929","92","6125","612","Fortnite"
"12","Thursday 11th July 2019 01:01","https://sullygnome.com/channel/headshotchick/stream/34858077280","179","14320","80","92","74","24","338","112","Fortnite"
"13","Wednesday 10th July 2019 00:58","https://sullygnome.com/channel/headshotchick/stream/34845510416","272","28016","103","131","206","43","451","94","Fortnite"
"14","Monday 8th July 2019 00:59","https://sullygnome.com/channel/headshotchick/stream/34820683632","241","26510","110","146","156","36","449","105","Fortnite"
"15","Sunday 7th July 2019 00:58","https://sullygnome.com/channel/headshotchick/stream/34808084080","257","23387","91","125","147","32","396","88","Fortnite"
"16","Saturday 6th July 2019 00:58","https://sullygnome.com/channel/headshotchick/stream/34795475152","362","45974","127","222","380","63","843","140","Fortnite"
"17","Wednesday 3rd July 2019 22:29","https://sullygnome.com/channel/headshotchick/stream/34770089488","406","30856","76","97","212","31","619","91","Fortnite"
"18","Wednesday 3rd July 2019 01:04","https://sullygnome.com/channel/headshotchick/stream/34759197008","236","14632","62","81","43","10","242","60","Fortnite"
