"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Tuesday 30th July 2019 02:54","https://sullygnome.com/channel/hellboyth_/stream/35093795120","321","6741","21","41","3","0","132","25","PUBG: BATTLEGROUNDS"
"2","Monday 29th July 2019 08:46","https://sullygnome.com/channel/hellboyth_/stream/35083515408","329","14805","45","110","8","1","92","16","PUBG: BATTLEGROUNDS"
"3","Monday 29th July 2019 03:10","https://sullygnome.com/channel/hellboyth_/stream/35081613744","320","4480","14","29","3","0","63","11","PUBG: BATTLEGROUNDS"
"4","Sunday 28th July 2019 02:55","https://sullygnome.com/channel/hellboyth_/stream/35069485344","335","5360","16","26","4","0","84","14","PUBG: BATTLEGROUNDS"
"5","Saturday 27th July 2019 03:16","https://sullygnome.com/channel/hellboyth_/stream/35057958752","269","3766","14","22","8","1","142","29","PUBG: BATTLEGROUNDS"
"6","Friday 26th July 2019 03:46","https://sullygnome.com/channel/hellboyth_/stream/35046411792","299","4186","14","29","3","0","78","14","PUBG: BATTLEGROUNDS"
"7","Thursday 25th July 2019 14:41","https://sullygnome.com/channel/hellboyth_/stream/35038338320","304","10032","33","59","1","0","75","14","PUBG: BATTLEGROUNDS"
"8","Thursday 25th July 2019 02:59","https://sullygnome.com/channel/hellboyth_/stream/35033942784","346","2768","8","15","2","0","56","9","PUBG: BATTLEGROUNDS"
"9","Wednesday 24th July 2019 05:02","https://sullygnome.com/channel/hellboyth_/stream/35022719376","178","4984","28","45","14","4","317","105","PUBG: BATTLEGROUNDS"
"10","Wednesday 24th July 2019 02:49","https://sullygnome.com/channel/hellboyth_/stream/35021638496","116","1276","11","22","0","0","72","32","PUBG: BATTLEGROUNDS"
"11","Monday 22nd July 2019 16:22","https://sullygnome.com/channel/hellboyth_/stream/35002305552","98","1470","15","26","0","0","21","12","Just Chatting,PUBG: BATTLEGROUNDS"
"12","Monday 22nd July 2019 14:45","https://sullygnome.com/channel/hellboyth_/stream/35001422608","60","1080","18","26","0","0","15","12","PUBG: BATTLEGROUNDS,Just Chatting"
"13","Monday 22nd July 2019 03:20","https://sullygnome.com/channel/hellboyth_/stream/34997334144","340","3400","10","21","6","1","83","15","PUBG: BATTLEGROUNDS"
"14","Sunday 21st July 2019 02:53","https://sullygnome.com/channel/hellboyth_/stream/34984897968","322","5474","17","45","8","1","160","29","PUBG: BATTLEGROUNDS"
"15","Saturday 20th July 2019 03:04","https://sullygnome.com/channel/hellboyth_/stream/34971445712","281","3934","14","24","4","0","146","29","PUBG: BATTLEGROUNDS"
"16","Friday 19th July 2019 02:18","https://sullygnome.com/channel/hellboyth_/stream/34958574224","357","4998","14","25","5","0","95","15","PUBG: BATTLEGROUNDS"
"17","Thursday 18th July 2019 02:59","https://sullygnome.com/channel/hellboyth_/stream/34946568816","301","6923","23","48","4","0","64","12","PUBG: BATTLEGROUNDS"
"18","Wednesday 17th July 2019 06:42","https://sullygnome.com/channel/hellboyth_/stream/34935508400","78","1872","24","30","2","1","17","13","PUBG: BATTLEGROUNDS"
"19","Wednesday 17th July 2019 02:30","https://sullygnome.com/channel/hellboyth_/stream/34933653648","240","3120","13","27","5","1","94","23","PUBG: BATTLEGROUNDS"
"20","Monday 15th July 2019 14:24","https://sullygnome.com/channel/hellboyth_/stream/34913240768","366","10614","29","49","4","0","65","10","Just Chatting,PUBG: BATTLEGROUNDS"
"21","Monday 15th July 2019 03:10","https://sullygnome.com/channel/hellboyth_/stream/34909172704","290","4060","14","29","3","0","67","13","PUBG: BATTLEGROUNDS"
"22","Sunday 14th July 2019 02:55","https://sullygnome.com/channel/hellboyth_/stream/34896530112","275","4675","17","38","4","0","60","13","PUBG: BATTLEGROUNDS"
"23","Saturday 13th July 2019 02:51","https://sullygnome.com/channel/hellboyth_/stream/34884034256","309","5562","18","28","7","1","73","14","PUBG: BATTLEGROUNDS"
"24","Friday 12th July 2019 03:34","https://sullygnome.com/channel/hellboyth_/stream/34872041456","251","2259","9","20","1","0","52","11","PUBG: BATTLEGROUNDS"
"25","Thursday 11th July 2019 03:02","https://sullygnome.com/channel/hellboyth_/stream/34859334208","283","4245","15","21","1","0","46","9","PUBG: BATTLEGROUNDS"
"26","Wednesday 10th July 2019 04:28","https://sullygnome.com/channel/hellboyth_/stream/34847550528","167","2171","13","21","6","2","64","23","PUBG: BATTLEGROUNDS"
"27","Tuesday 9th July 2019 02:54","https://sullygnome.com/channel/hellboyth_/stream/34834179552","291","7275","25","35","2","0","48","9","PUBG: BATTLEGROUNDS"
"28","Monday 8th July 2019 17:15","https://sullygnome.com/channel/hellboyth_/stream/34827411616","120","4440","37","68","1","0","25","11","PUBG: BATTLEGROUNDS"
"29","Sunday 7th July 2019 04:50","https://sullygnome.com/channel/hellboyth_/stream/34810189920","70","1890","27","41","0","0","19","25","PUBG: BATTLEGROUNDS"
"30","Sunday 7th July 2019 03:34","https://sullygnome.com/channel/hellboyth_/stream/34809576480","56","1456","26","45","0","0","17","17","PUBG: BATTLEGROUNDS"
"31","Saturday 6th July 2019 03:45","https://sullygnome.com/channel/hellboyth_/stream/34797097136","150","750","5","26","0","0","30","10","PUBG: BATTLEGROUNDS"
"32","Saturday 6th July 2019 02:36","https://sullygnome.com/channel/hellboyth_/stream/34796459088","39","624","16","26","0","0","7","14","Just Chatting"
"33","Friday 5th July 2019 04:15","https://sullygnome.com/channel/hellboyth_/stream/34785051984","150","1650","11","23","0","0","34","12","Just Chatting,PUBG: BATTLEGROUNDS"
"34","Wednesday 3rd July 2019 05:27","https://sullygnome.com/channel/hellboyth_/stream/34761547936","198","2970","15","21","1","0","29","8","PUBG: BATTLEGROUNDS,Just Chatting"
"35","Tuesday 2nd July 2019 05:00","https://sullygnome.com/channel/hellboyth_/stream/34748759328","120","960","8","13","0","0","29","12","Just Chatting,PUBG: BATTLEGROUNDS"
"36","Monday 1st July 2019 05:57","https://sullygnome.com/channel/hellboyth_/stream/34736963008","183","4575","25","48","0","0","36","11","Just Chatting"
