"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Sea of Thieves","1650","11325","6","16","182","6.618181"
"2","Dead by Daylight","1080","9585","8","20","182","10.111111"
"3","Deathgarden: BLOODHARVEST","780","5265","6","15","109","8.384615"
"4","Friday the 13th: The Game","195","5715","30","40","125","38.461538"
"5","Guild Wars 2","165","435","2","4","8","2.90909"
"6","Forza Horizon 4","150","960","6","13","28","11.2"
"7","Getting Over It with Bennett Foddy","150","1890","12","16","32","12.8"
"8","7 Days to Die","90","210","2","4","9","6"
"9","Paladins","75","285","3","5","5","4"
"10","Wreckfest","60","690","11","12","16","16"
