"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Just Chatting","1245","17745","12","35","614","29.590361"
"2","Outlast","630","10290","15","29","166","15.809523"
"3","Alice: Madness Returns","495","6360","12","22","257","31.151515"
"4","A Plague Tale: Innocence","330","3180","9","12","54","9.818181"
"5","My Friend Pedro","180","1965","10","17","68","22.666666"
"6","Cooking Simulator","165","2985","18","26","98","35.636363"
"7","Ori and the Blind Forest","150","1935","12","20","40","16"
"8","Beyond: Two Souls","150","2325","15","18","40","16"
"9","The Forest","150","3075","20","31","183","73.2"
"10","Portal 2","150","2250","14","18","81","32.4"
"11","Guitar Hero III: Legends of Rock","135","1935","14","18","65","28.888888"
"12","Super Seducer","120","1200","10","17","44","22"
"13","Jump King","105","1395","13","16","47","26.857142"
"14","Fortnite","90","885","9","13","33","22"
"15","Overcooked! 2","60","915","15","17","13","13"
"16","Guitar Hero","60","735","12","15","19","19"
"17","Marbles on Stream","30","420","14","14","8","16"
"18","UNO","15","165","11","11","10","40"
