"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 19:45","https://sullygnome.com/channel/hotsauceman/stream/35114887168","45","45","1","1","0","0","0","0","Super Smash Bros. Ultimate"
"2","Tuesday 30th July 2019 17:45","https://sullygnome.com/channel/hotsauceman/stream/35100145792","285","570","2","4","0","0","15","3","Jump King"
"3","Saturday 27th July 2019 19:30","https://sullygnome.com/channel/hotsauceman/stream/35065163440","240","240","1","3","2","0","5","1","Super Mario Maker 2"
"4","Friday 26th July 2019 20:45","https://sullygnome.com/channel/hotsauceman/stream/35054049632","165","165","1","4","0","0","2","0","Super Mario Maker 2"
"5","Friday 26th July 2019 19:30","https://sullygnome.com/channel/hotsauceman/stream/35053274160","45","45","1","1","0","0","4","4","Super Mario Maker 2"
"6","Tuesday 23rd July 2019 19:30","https://sullygnome.com/channel/hotsauceman/stream/35016908224","300","300","1","2","0","0","10","1","Katana ZERO"
"7","Saturday 20th July 2019 17:00","https://sullygnome.com/channel/hotsauceman/stream/34977798240","285","570","2","6","0","0","6","1","Super Mario Maker 2"
"8","Friday 19th July 2019 19:15","https://sullygnome.com/channel/hotsauceman/stream/34966362336","345","345","1","3","0","0","8","1","Catherine"
"9","Wednesday 17th July 2019 18:00","https://sullygnome.com/channel/hotsauceman/stream/34940500544","285","570","2","3","0","0","11","2","Catherine"
"10","Tuesday 16th July 2019 18:00","https://sullygnome.com/channel/hotsauceman/stream/34927860128","360","720","2","5","2","0","14","2","Catherine"
"11","Friday 12th July 2019 18:00","https://sullygnome.com/channel/hotsauceman/stream/34878215472","360","720","2","6","0","0","9","1","Yakuza Kiwami"
"12","Wednesday 10th July 2019 18:00","https://sullygnome.com/channel/hotsauceman/stream/34853292080","300","600","2","5","0","0","15","2","Yakuza Kiwami"
"13","Tuesday 9th July 2019 18:45","https://sullygnome.com/channel/hotsauceman/stream/34841118096","330","660","2","4","0","0","8","1","Yakuza Kiwami"
"14","Saturday 6th July 2019 16:03","https://sullygnome.com/channel/hotsauceman/stream/34802320096","1437","7185","5","10","17","0","80","3","Super Smash Bros. Ultimate,Super Mario Maker 2"
"15","Monday 1st July 2019 18:07","https://sullygnome.com/channel/hotsauceman/stream/34742086480","278","834","3","6","0","0","19","4","Yakuza Kiwami"
