"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 17:04","https://sullygnome.com/channel/htmosa/stream/35112991520","416","8736","21","37","12","1","324","46","Call of Duty: Black Ops 4"
"2","Monday 29th July 2019 19:30","https://sullygnome.com/channel/htmosa/stream/35088872624","75","1500","20","30","0","0","62","41","Fortnite,Call of Duty: Black Ops 4"
"3","Sunday 28th July 2019 21:51","https://sullygnome.com/channel/htmosa/stream/35078565888","174","5742","33","41","5","1","93","33","Call of Duty: Black Ops 4"
"4","Saturday 27th July 2019 20:30","https://sullygnome.com/channel/htmosa/stream/35065568592","75","1875","25","31","3","2","50","33","Call of Duty: Black Ops 4"
"5","Friday 26th July 2019 18:42","https://sullygnome.com/channel/htmosa/stream/35052725648","348","8352","24","36","11","1","222","37","Call of Duty: Black Ops 4,Fortnite,Crash Team Racing Nitro-Fueled"
"6","Wednesday 24th July 2019 16:02","https://sullygnome.com/channel/htmosa/stream/35026822272","163","6357","39","46","4","1","238","86","Call of Duty: Black Ops 4"
"7","Monday 22nd July 2019 22:42","https://sullygnome.com/channel/htmosa/stream/35006617648","423","8037","19","44","7","0","244","33","Call of Duty: Black Ops 4"
"8","Monday 22nd July 2019 15:00","https://sullygnome.com/channel/htmosa/stream/35001562768","420","15540","37","49","10","1","436","62","Call of Duty: Black Ops 4"
"9","Sunday 21st July 2019 14:23","https://sullygnome.com/channel/htmosa/stream/34989447600","607","17603","29","43","15","1","502","48","Call of Duty: Black Ops 4,Cybarian: The Time Travelling Warrior,Crash Team Racing Nitro-Fueled"
"10","Friday 19th July 2019 12:51","https://sullygnome.com/channel/htmosa/stream/34962588160","369","12915","35","48","26","4","357","57","Call of Duty: Black Ops 4"
"11","Thursday 18th July 2019 15:06","https://sullygnome.com/channel/htmosa/stream/34950307280","189","4347","23","48","2","0","279","53","Call of Duty: Black Ops 4,Art"
"12","Tuesday 16th July 2019 23:19","https://sullygnome.com/channel/htmosa/stream/34931559424","281","5058","18","24","4","0","153","30","Just Chatting"
"13","Tuesday 16th July 2019 19:02","https://sullygnome.com/channel/htmosa/stream/34928642944","223","5129","23","35","2","0","155","41","Apex Legends,Call of Duty: Black Ops 4,Crash Team Racing Nitro-Fueled"
"14","Monday 15th July 2019 16:29","https://sullygnome.com/channel/htmosa/stream/34912717936","241","13014","54","103","29","4","633","87","Just Chatting,Call of Duty: Black Ops 4"
"15","Saturday 13th July 2019 15:55","https://sullygnome.com/channel/htmosa/stream/34889597552","140","4900","35","45","4","1","175","70","Just Chatting"
"16","Friday 12th July 2019 20:10","https://sullygnome.com/channel/htmosa/stream/34879834592","185","3330","18","23","2","0","117","36","Call of Duty: Black Ops 4"
"17","Friday 12th July 2019 12:08","https://sullygnome.com/channel/htmosa/stream/34875070656","217","5208","24","33","1","0","185","49","Art"
"18","Thursday 11th July 2019 17:00","https://sullygnome.com/channel/htmosa/stream/34865077920","195","5265","27","49","-3","0","291","83","Call of Duty: Warzone,Call of Duty: Black Ops 4,Crash Team Racing Nitro-Fueled"
"19","Wednesday 10th July 2019 12:46","https://sullygnome.com/channel/htmosa/stream/34850362064","224","4256","19","35","-2","0","149","39","Call of Duty: Black Ops 4,Crash Team Racing Nitro-Fueled,Effie,Stranger Things 3: The Game"
"20","Tuesday 9th July 2019 08:59","https://sullygnome.com/channel/htmosa/stream/34836441536","646","26486","41","60","49","4","644","58","Call of Duty: Black Ops 4,Crash Team Racing Nitro-Fueled"
"21","Sunday 7th July 2019 16:07","https://sullygnome.com/channel/htmosa/stream/34814917568","398","9950","25","40","-2","0","348","51","Call of Duty: Modern Warfare 3,Crash Team Racing Nitro-Fueled,Stranger Things 3: The Game"
