"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","CrossCode","420","6420","14","23","623","89"
"2","Mario Kart 8","330","7785","16","33","537","97.636363"
"3","Subnautica: Below Zero","210","4695","21","35","307","87.714285"
"4","FAR: Lone Sails","195","3390","17","42","282","86.76923"
"5","Dead by Daylight","165","3180","19","22","155","56.363636"
"6","The Forest","165","2730","16","24","153","55.636363"
"7","Twitch Sings","150","4080","27","32","233","93.2"
"8","Raft","135","2010","14","20","131","58.222222"
"9","Just Dance 2019","120","3195","26","40","237","118.5"
"10","Cadence of Hyrule: Crypt of the NecroDancer Featuring the Legend of Zelda","120","1710","14","22","106","53"
"11","Retro","120","2130","17","23","133","66.5"
"12","ARK: Survival Evolved","75","1065","14","16","82","65.6"
"13","Just Chatting","15","285","19","19","0","0"
