"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 18:25","https://sullygnome.com/channel/inathegamingunicorn/stream/35113941712","215","3870","18","22","6","1","155","47","Dead by Daylight"
"2","Tuesday 30th July 2019 17:50","https://sullygnome.com/channel/inathegamingunicorn/stream/35100305520","160","2240","14","20","12","4","131","47","Raft"
"3","Monday 29th July 2019 17:49","https://sullygnome.com/channel/inathegamingunicorn/stream/35087652448","146","2482","17","23","-1","0","133","53","Retro,Just Chatting"
"4","Sunday 28th July 2019 08:14","https://sullygnome.com/channel/inathegamingunicorn/stream/35071606112","136","1496","11","17","1","0","181","80","CrossCode"
"5","Saturday 27th July 2019 12:27","https://sullygnome.com/channel/inathegamingunicorn/stream/35061307024","138","3174","23","35","1","0","202","89","Subnautica: Below Zero"
"6","Wednesday 24th July 2019 17:49","https://sullygnome.com/channel/inathegamingunicorn/stream/35027909456","101","2020","20","22","1","0","105","60","Subnautica: Below Zero"
"7","Monday 22nd July 2019 17:48","https://sullygnome.com/channel/inathegamingunicorn/stream/35003214080","132","3432","26","40","2","0","237","94","Just Dance 2019"
"8","Sunday 21st July 2019 07:21","https://sullygnome.com/channel/inathegamingunicorn/stream/34986776624","189","3213","17","23","0","0","178","54","CrossCode"
"9","Friday 19th July 2019 17:50","https://sullygnome.com/channel/inathegamingunicorn/stream/34965368960","175","2625","15","24","0","0","153","51","The Forest"
"10","Monday 15th July 2019 17:54","https://sullygnome.com/channel/inathegamingunicorn/stream/34915321664","201","4623","23","31","7","2","276","78","Mario Kart 8"
"11","Sunday 14th July 2019 07:50","https://sullygnome.com/channel/inathegamingunicorn/stream/34898595600","175","2625","15","22","0","0","264","88","CrossCode"
"12","Saturday 13th July 2019 12:53","https://sullygnome.com/channel/inathegamingunicorn/stream/34888021456","142","3834","27","32","3","1","233","93","Twitch Sings"
"13","Friday 12th July 2019 17:50","https://sullygnome.com/channel/inathegamingunicorn/stream/34878109888","130","1690","13","22","1","0","106","47","Cadence of Hyrule: Crypt of the NecroDancer Featuring the Legend of Zelda"
"14","Sunday 7th July 2019 07:48","https://sullygnome.com/channel/inathegamingunicorn/stream/34811289264","207","3726","18","42","-3","0","282","80","FAR: Lone Sails"
"15","Wednesday 3rd July 2019 18:02","https://sullygnome.com/channel/inathegamingunicorn/stream/34766994432","88","968","11","16","1","0","82","46","Mario Kart 8,ARK: Survival Evolved"
"16","Monday 1st July 2019 17:49","https://sullygnome.com/channel/inathegamingunicorn/stream/34741853120","131","3275","25","33","0","0","209","92","Mario Kart 8"
