"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Tuesday 30th July 2019 16:00","https://sullygnome.com/channel/infiltration10/stream/35098805728","240","17280","72","89","-2","0","134","31","Dragon Age: Origins"
"2","Monday 29th July 2019 15:58","https://sullygnome.com/channel/infiltration10/stream/35086476528","377","7917","21","48","1","0","253","38","Dauntless,Tom Clancy's Rainbow Six Siege,Overwatch"
"3","Friday 19th July 2019 18:53","https://sullygnome.com/channel/infiltration10/stream/34966131872","367","13946","38","66","4","0","345","57","Tom Clancy's The Division 2,Tom Clancy's Rainbow Six Siege"
"4","Thursday 18th July 2019 19:29","https://sullygnome.com/channel/infiltration10/stream/34954129104","316","11376","36","58","3","0","294","56","DC Universe Online"
"5","Wednesday 17th July 2019 15:43","https://sullygnome.com/channel/infiltration10/stream/34939020704","392","14112","36","58","3","0","212","31","Tom Clancy's The Division 2,Far Cry: Primal"
"6","Sunday 14th July 2019 20:42","https://sullygnome.com/channel/infiltration10/stream/34905351296","633","48108","76","97","1","0","743","70","DC Universe Online,Overwatch"
"7","Saturday 13th July 2019 00:20","https://sullygnome.com/channel/infiltration10/stream/34882475552","205","11890","58","76","1","0","143","40","Tom Clancy's The Division 2"
"8","Friday 12th July 2019 01:19","https://sullygnome.com/channel/infiltration10/stream/34870688640","161","8533","53","67","-1","0","89","35","Tom Clancy's The Division 2"
"9","Wednesday 10th July 2019 22:48","https://sullygnome.com/channel/infiltration10/stream/34856628768","447","25032","56","72","4","0","338","46","Mass Effect 3,Tom Clancy's The Division 2"
"10","Tuesday 9th July 2019 12:48","https://sullygnome.com/channel/infiltration10/stream/34837793856","297","21384","72","106","2","0","280","56","Mass Effect 3"
"11","Sunday 7th July 2019 13:17","https://sullygnome.com/channel/infiltration10/stream/34813398528","328","20992","64","99","-1","0","320","55","City of Heroes,Mass Effect 3"
"12","Saturday 6th July 2019 16:26","https://sullygnome.com/channel/infiltration10/stream/34802543936","289","54332","188","247","3","0","284","66","Tom Clancy's The Division 2"
"13","Saturday 6th July 2019 01:42","https://sullygnome.com/channel/infiltration10/stream/34795915824","168","6888","41","63","-1","0","149","49","Star Wars: The Old Republic,City of Heroes,Mass Effect 3"
"14","Wednesday 3rd July 2019 18:25","https://sullygnome.com/channel/infiltration10/stream/34767273776","395","28835","73","93","4","0","308","47","City of Heroes,Star Wars: The Old Republic"
"15","Tuesday 2nd July 2019 22:48","https://sullygnome.com/channel/infiltration10/stream/34757721536","357","21777","61","81","6","0","431","68","Star Wars: The Old Republic,City of Heroes"
