"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Thursday 25th July 2019 01:45","https://sullygnome.com/channel/inthedark2/stream/35033160816","135","540","4","6","1","0","23","9","Minecraft,Just Chatting,Jump King"
"2","Monday 22nd July 2019 02:30","https://sullygnome.com/channel/inthedark2/stream/34996643504","60","120","2","4","0","0","9","7","Just Chatting,Teamfight Tactics"
"3","Saturday 20th July 2019 02:00","https://sullygnome.com/channel/inthedark2/stream/34970657504","90","630","7","10","0","0","20","11","Just Chatting,Jump King"
"4","Thursday 18th July 2019 01:37","https://sullygnome.com/channel/inthedark2/stream/34945721872","158","948","6","12","0","0","25","9","Just Chatting,Call of Duty: Black Ops III,Warframe,Teamfight Tactics"
"5","Monday 15th July 2019 01:37","https://sullygnome.com/channel/inthedark2/stream/34908318016","83","581","7","10","0","0","24","19","Just Chatting,Counter-Strike: Global Offensive"
"6","Friday 12th July 2019 02:10","https://sullygnome.com/channel/inthedark2/stream/34871239008","110","550","5","8","-1","0","14","8","Just Chatting,Warframe,Counter-Strike: Global Offensive"
"7","Monday 8th July 2019 00:30","https://sullygnome.com/channel/inthedark2/stream/34820365184","165","825","5","8","0","0","23","7","Just Chatting,Teamfight Tactics"
"8","Wednesday 3rd July 2019 02:45","https://sullygnome.com/channel/inthedark2/stream/34760028080","75","300","4","6","1","0","12","8","Just Chatting"
"9","Tuesday 2nd July 2019 01:30","https://sullygnome.com/channel/inthedark2/stream/34746693632","30","30","1","3","1","1","1","1","Just Chatting,Warframe"
"10","Monday 1st July 2019 01:15","https://sullygnome.com/channel/inthedark2/stream/34734744896","210","630","3","7","2","0","28","7","Just Chatting,Dishonored,Counter-Strike: Global Offensive"
