"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 13:31","https://sullygnome.com/channel/ironaids/stream/35111026960","299","18538","62","81","7","1","473","94","Overwatch"
"2","Tuesday 30th July 2019 16:01","https://sullygnome.com/channel/ironaids/stream/35098843792","224","13888","62","82","7","1","446","104","Overwatch"
"3","Monday 29th July 2019 13:57","https://sullygnome.com/channel/ironaids/stream/35085433376","438","45114","103","310","43","5","2080","277","Overwatch"
"4","Friday 26th July 2019 12:36","https://sullygnome.com/channel/ironaids/stream/35049448000","459","24786","54","86","17","2","690","89","Overwatch"
"5","Thursday 25th July 2019 12:48","https://sullygnome.com/channel/ironaids/stream/35037490192","267","13350","50","72","6","1","446","99","Overwatch"
"6","Wednesday 24th July 2019 14:02","https://sullygnome.com/channel/ironaids/stream/35025795840","253","12397","49","80","18","4","457","101","Overwatch"
"7","Tuesday 23rd July 2019 14:33","https://sullygnome.com/channel/ironaids/stream/35013769184","162","9234","57","73","7","2","228","82","Overwatch"
"8","Monday 22nd July 2019 13:27","https://sullygnome.com/channel/ironaids/stream/35000821584","213","12993","61","80","11","2","339","90","Overwatch"
"9","Friday 19th July 2019 14:01","https://sullygnome.com/channel/ironaids/stream/34963137088","224","10976","49","61","-1","0","307","81","Overwatch"
"10","Wednesday 17th July 2019 14:46","https://sullygnome.com/channel/ironaids/stream/34938503136","224","14336","64","85","9","2","344","98","Overwatch"
"11","Tuesday 16th July 2019 12:34","https://sullygnome.com/channel/ironaids/stream/34924775984","161","7728","48","66","7","2","300","100","Overwatch"
"12","Monday 15th July 2019 12:50","https://sullygnome.com/channel/ironaids/stream/34912516176","235","14805","63","99","21","5","519","129","Overwatch"
"13","Friday 12th July 2019 12:02","https://sullygnome.com/channel/ironaids/stream/34875027648","253","14927","59","86","15","3","563","125","Overwatch"
"14","Thursday 11th July 2019 14:14","https://sullygnome.com/channel/ironaids/stream/34863523824","211","11816","56","78","4","1","334","95","Overwatch"
"15","Wednesday 10th July 2019 15:15","https://sullygnome.com/channel/ironaids/stream/34851452032","165","9900","60","81","7","2","262","87","Overwatch"
"16","Tuesday 9th July 2019 10:54","https://sullygnome.com/channel/ironaids/stream/34837034928","351","23868","68","137","-1","0","626","104","Overwatch"
"17","Monday 8th July 2019 10:00","https://sullygnome.com/channel/ironaids/stream/34824295248","360","14040","39","77","-2","0","485","77","Overwatch,Teamfight Tactics"
"18","Friday 5th July 2019 14:02","https://sullygnome.com/channel/ironaids/stream/34788569472","103","4532","44","66","-1","0","155","88","Overwatch"
"19","Thursday 4th July 2019 13:37","https://sullygnome.com/channel/ironaids/stream/34776911136","203","10353","51","82","11","3","297","84","Overwatch"
"20","Wednesday 3rd July 2019 13:30","https://sullygnome.com/channel/ironaids/stream/34764322816","315","16380","52","71","3","0","433","78","Overwatch"
"21","Tuesday 2nd July 2019 13:35","https://sullygnome.com/channel/ironaids/stream/34751673904","145","6380","44","51","1","0","201","80","Overwatch"
"22","Monday 1st July 2019 14:06","https://sullygnome.com/channel/ironaids/stream/34739122656","159","6837","43","57","-1","0","340","85","Overwatch"
