"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 16:07","https://sullygnome.com/channel/ivorysmoon/stream/35112388128","473","10406","22","53","0","0","257","32","League of Legends,FINAL FANTASY XIV ONLINE"
"2","Tuesday 30th July 2019 17:25","https://sullygnome.com/channel/ivorysmoon/stream/35100020432","260","4160","16","19","0","0","73","17","Warframe"
"3","Monday 29th July 2019 22:33","https://sullygnome.com/channel/ivorysmoon/stream/35091003760","57","456","8","16","0","0","44","44","FINAL FANTASY XIV ONLINE"
"4","Monday 29th July 2019 20:26","https://sullygnome.com/channel/ivorysmoon/stream/35089606592","109","1417","13","16","0","0","68","38","FINAL FANTASY XIV ONLINE"
"5","Monday 29th July 2019 15:51","https://sullygnome.com/channel/ivorysmoon/stream/35086415504","264","3696","14","21","1","0","79","18","FINAL FANTASY XIV ONLINE"
"6","Saturday 27th July 2019 16:27","https://sullygnome.com/channel/ivorysmoon/stream/35063280080","198","1782","9","15","-1","0","62","17","Gloomhaven"
"7","Friday 26th July 2019 15:10","https://sullygnome.com/channel/ivorysmoon/stream/35050638576","395","7110","18","32","-2","0","166","24","Fire Emblem: Three Houses"
"8","Thursday 25th July 2019 14:19","https://sullygnome.com/channel/ivorysmoon/stream/35038160416","371","4823","13","19","-1","0","85","13","League of Legends"
"9","Wednesday 24th July 2019 15:38","https://sullygnome.com/channel/ivorysmoon/stream/35026604192","367","4771","13","19","-2","0","72","11","Owlboy"
"10","Tuesday 23rd July 2019 16:54","https://sullygnome.com/channel/ivorysmoon/stream/35015062032","246","2952","12","22","1","0","66","15","League of Legends,Marvel Ultimate Alliance 3: The Black Order"
"11","Monday 22nd July 2019 14:18","https://sullygnome.com/channel/ivorysmoon/stream/35001215712","447","7599","17","27","-4","0","79","10","League of Legends,Overwatch"
"12","Sunday 21st July 2019 17:05","https://sullygnome.com/channel/ivorysmoon/stream/34990966736","235","2820","12","22","-1","0","67","19","FINAL FANTASY XIV ONLINE"
"13","Friday 19th July 2019 15:10","https://sullygnome.com/channel/ivorysmoon/stream/34963748512","395","5135","13","20","-2","0","67","10","Marvel Ultimate Alliance 3: The Black Order"
"14","Thursday 18th July 2019 16:21","https://sullygnome.com/channel/ivorysmoon/stream/34951966736","324","3240","10","21","1","0","82","14","FINAL FANTASY XIV ONLINE"
"15","Wednesday 17th July 2019 15:55","https://sullygnome.com/channel/ivorysmoon/stream/34939131216","365","6570","18","26","1","0","114","18","FINAL FANTASY XIV ONLINE"
"16","Tuesday 16th July 2019 16:14","https://sullygnome.com/channel/ivorysmoon/stream/34926693200","316","5056","16","25","3","0","81","15","League of Legends,FINAL FANTASY XIV ONLINE"
"17","Monday 15th July 2019 16:00","https://sullygnome.com/channel/ivorysmoon/stream/34914042816","345","7590","22","65","-1","0","190","31","League of Legends,FINAL FANTASY XIV ONLINE"
"18","Friday 12th July 2019 20:37","https://sullygnome.com/channel/ivorysmoon/stream/34880142976","128","1280","10","15","0","0","9","4","Monster Hunter Generations Ultimate"
"19","Friday 12th July 2019 16:30","https://sullygnome.com/channel/ivorysmoon/stream/34877256800","240","2640","11","17","-2","0","34","8","League of Legends,Monster Hunter Generations Ultimate"
"20","Thursday 11th July 2019 14:36","https://sullygnome.com/channel/ivorysmoon/stream/34863702352","534","9612","18","36","-2","0","170","18","League of Legends"
"21","Wednesday 10th July 2019 17:41","https://sullygnome.com/channel/ivorysmoon/stream/34853069376","199","2786","14","21","1","0","60","17","Super Mario Maker 2"
"22","Tuesday 9th July 2019 13:15","https://sullygnome.com/channel/ivorysmoon/stream/34838006432","480","6720","14","22","-1","0","86","10","League of Legends"
"23","Monday 8th July 2019 16:48","https://sullygnome.com/channel/ivorysmoon/stream/34827445792","297","3267","11","15","1","0","70","14","FINAL FANTASY XIV ONLINE"
"24","Friday 5th July 2019 15:41","https://sullygnome.com/channel/ivorysmoon/stream/34789414608","409","5317","13","19","3","0","64","9","FINAL FANTASY XIV ONLINE"
"25","Thursday 4th July 2019 14:44","https://sullygnome.com/channel/ivorysmoon/stream/34777456608","511","6643","13","20","-2","0","85","9","FINAL FANTASY XIV ONLINE"
"26","Wednesday 3rd July 2019 15:25","https://sullygnome.com/channel/ivorysmoon/stream/34765317024","425","11050","26","41","0","0","357","49","FINAL FANTASY XIV ONLINE"
"27","Tuesday 2nd July 2019 17:00","https://sullygnome.com/channel/ivorysmoon/stream/34753568000","285","4560","16","22","-1","0","54","11","Overwatch"
"28","Monday 1st July 2019 16:17","https://sullygnome.com/channel/ivorysmoon/stream/34740874016","403","4836","12","17","-2","0","88","12","FINAL FANTASY XIV ONLINE"
