"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Dark Souls","1740","24990","13","58","565","19.482758"
"2","Art","645","12180","16","34","324","30.139534"
"3","Two Point Hospital","495","4410","8","14","104","12.60606"
"4","Dying Light","300","7575","25","86","166","33.2"
"5","Mario Party 8","165","3060","18","21","58","21.090909"
"6","Katamari Damacy","150","2325","14","19","50","20"
"7","Rhythm Heaven","150","2700","18","29","150","60"
"8","The Legend of Zelda: Skyward Sword","150","1740","11","16","29","11.6"
"9","Slime Rancher","135","1710","12","22","66","29.333333"
"10","Muse Dash","135","2130","13","30","22","9.777777"
"11","BattleBlock Theater","120","2205","18","20","63","31.5"
"12","100% Orange Juice","105","1380","13","17","37","21.142857"
"13","Twitch Sings","90","1530","17","18","54","36"
"14","Hand Simulator","90","1485","16","19","48","32"
"15","Splatoon 2","75","495","6","19","25","20"
"16","Animal Crossing: City Folk","60","855","14","16","15","15"
"17","Zanki Zero: Last Beginning","45","825","18","22","13","17.333333"
