"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Monday 29th July 2019 20:08","https://sullygnome.com/channel/jaffasrayne/stream/35089384624","82","820","10","12","0","0","5","5","Art"
"2","Tuesday 23rd July 2019 19:15","https://sullygnome.com/channel/jaffasrayne/stream/35016575120","150","1200","8","12","-1","0","25","9","Art"
"3","Saturday 20th July 2019 14:49","https://sullygnome.com/channel/jaffasrayne/stream/34976379136","101","707","7","11","0","0","10","5","Art"
"4","Friday 19th July 2019 19:27","https://sullygnome.com/channel/jaffasrayne/stream/34966569184","123","615","5","8","0","0","17","7","Art"
"5","Tuesday 16th July 2019 19:45","https://sullygnome.com/channel/jaffasrayne/stream/34929163744","135","945","7","11","0","0","23","9","Art"
"6","Monday 15th July 2019 19:23","https://sullygnome.com/channel/jaffasrayne/stream/34916435040","97","485","5","9","0","0","23","13","Art"
"7","Wednesday 10th July 2019 19:23","https://sullygnome.com/channel/jaffasrayne/stream/34854326912","142","1136","8","11","0","0","29","11","Art"
"8","Thursday 4th July 2019 19:17","https://sullygnome.com/channel/jaffasrayne/stream/34780351952","103","721","7","9","0","0","7","4","Art"
"9","Tuesday 2nd July 2019 19:45","https://sullygnome.com/channel/jaffasrayne/stream/34755508192","75","750","10","17","0","0","19","12","Art"
"10","Monday 1st July 2019 19:15","https://sullygnome.com/channel/jaffasrayne/stream/34742862512","150","900","6","10","0","0","15","5","Art"
