"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Tuesday 30th July 2019 18:30","https://sullygnome.com/channel/jarekor/stream/35100729904","0","0","3","3","0","0","0","0","Fortnite"
"2","Friday 26th July 2019 05:30","https://sullygnome.com/channel/jarekor/stream/35047093168","0","0","0","0","0","0","0","0","Fortnite"
"3","Wednesday 24th July 2019 20:45","https://sullygnome.com/channel/jarekor/stream/35029864304","0","0","2","2","0","0","0","0","Fortnite"
"4","Wednesday 24th July 2019 19:30","https://sullygnome.com/channel/jarekor/stream/35028993888","15","30","2","3","0","0","0","0","Fortnite"
"5","Tuesday 23rd July 2019 05:15","https://sullygnome.com/channel/jarekor/stream/35010337696","15","15","1","2","0","0","0","0","Fortnite"
"6","Friday 19th July 2019 18:30","https://sullygnome.com/channel/jarekor/stream/34965917936","45","0","0","2","0","0","3","3","Fortnite"
"7","Tuesday 16th July 2019 22:45","https://sullygnome.com/channel/jarekor/stream/34931131008","15","15","1","3","0","0","4","8","Fortnite"
"8","Monday 15th July 2019 20:15","https://sullygnome.com/channel/jarekor/stream/34917025696","15","45","3","4","0","0","0","0","Fortnite"
"9","Monday 15th July 2019 19:15","https://sullygnome.com/channel/jarekor/stream/34916110624","15","15","1","1","0","0","10","20","Fortnite"
"10","Monday 15th July 2019 17:30","https://sullygnome.com/channel/jarekor/stream/34914964800","30","60","2","2","0","0","2","2","Fortnite"
"11","Friday 12th July 2019 18:00","https://sullygnome.com/channel/jarekor/stream/34878132304","30","60","2","2","0","0","3","4","Fortnite"
"12","Monday 8th July 2019 17:15","https://sullygnome.com/channel/jarekor/stream/34827507296","75","150","2","6","2","1","10","6","Fortnite"
"13","Sunday 7th July 2019 20:45","https://sullygnome.com/channel/jarekor/stream/34817999200","15","45","3","4","0","0","0","0","Fortnite"
"14","Friday 5th July 2019 17:30","https://sullygnome.com/channel/jarekor/stream/34790502160","90","90","1","2","1","0","8","4","Fortnite"
"15","Wednesday 3rd July 2019 19:00","https://sullygnome.com/channel/jarekor/stream/34767565472","0","0","1","1","0","0","0","0","Fortnite"
"16","Tuesday 2nd July 2019 20:30","https://sullygnome.com/channel/jarekor/stream/34756051840","45","180","4","6","0","0","2","2","Fortnite"
"17","Monday 1st July 2019 17:45","https://sullygnome.com/channel/jarekor/stream/34741802848","60","180","3","8","1","0","15","12","Fortnite"
