"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 23:30","https://sullygnome.com/channel/jawnious/stream/35117423424","255","1020","4","7","0","0","9","2","Star Wars Battlefront II"
"2","Wednesday 31st July 2019 17:45","https://sullygnome.com/channel/jawnious/stream/35113216144","0","0","2","2","0","0","0","0","Star Wars Battlefront II"
"3","Tuesday 30th July 2019 21:45","https://sullygnome.com/channel/jawnious/stream/35102995664","285","1425","5","13","3","0","7","1","Star Wars Battlefront II"
"4","Monday 29th July 2019 16:26","https://sullygnome.com/channel/jawnious/stream/35086751952","319","2871","9","16","4","0","21","3","Star Wars Battlefront II"
"5","Saturday 27th July 2019 19:03","https://sullygnome.com/channel/jawnious/stream/35064887616","207","1242","6","13","3","0","7","2","Star Wars Battlefront II"
"6","Saturday 27th July 2019 18:00","https://sullygnome.com/channel/jawnious/stream/35064202960","60","120","2","4","2","1","8","6","Growtopia"
"7","Thursday 25th July 2019 02:30","https://sullygnome.com/channel/jawnious/stream/35033599264","150","300","2","5","0","0","2","0","Star Wars Battlefront II,Dead by Daylight"
"8","Saturday 20th July 2019 03:30","https://sullygnome.com/channel/jawnious/stream/34971628192","180","360","2","5","0","0","4","1","Star Wars Battlefront II"
"9","Friday 19th July 2019 02:33","https://sullygnome.com/channel/jawnious/stream/34958717920","342","1368","4","10","1","0","14","2","Star Wars Battlefront II"
"10","Thursday 18th July 2019 18:45","https://sullygnome.com/channel/jawnious/stream/34953365072","210","210","1","3","0","0","5","1","Star Wars Battlefront II"
"11","Wednesday 10th July 2019 19:37","https://sullygnome.com/channel/jawnious/stream/34853115024","218","654","3","7","1","0","16","2","Unlisted on Twitch,Star Wars Battlefront II"
"12","Sunday 7th July 2019 19:30","https://sullygnome.com/channel/jawnious/stream/34817089328","165","660","4","9","0","0","12","4","Star Wars Battlefront II,Battlefield V"
"13","Tuesday 2nd July 2019 23:54","https://sullygnome.com/channel/jawnious/stream/34758424832","186","744","4","6","2","0","8","2","Star Wars Battlefront II"
