"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Monday 29th July 2019 11:13","https://sullygnome.com/channel/jenziman2/stream/35084275024","722","15162","21","35","2","0","107","8","Minion Masters"
"2","Saturday 27th July 2019 16:35","https://sullygnome.com/channel/jenziman2/stream/35063358624","250","2500","10","16","0","0","26","6","Minion Masters"
"3","Friday 26th July 2019 17:35","https://sullygnome.com/channel/jenziman2/stream/35051997424","145","1305","9","13","0","0","24","9","Minion Masters"
"4","Tuesday 23rd July 2019 10:47","https://sullygnome.com/channel/jenziman2/stream/35012185760","238","5474","23","49","6","1","90","24","Hearthstone,Minion Masters"
"5","Monday 22nd July 2019 17:07","https://sullygnome.com/channel/jenziman2/stream/35002762000","248","2480","10","15","1","0","42","9","Minion Masters"
"6","Sunday 21st July 2019 14:30","https://sullygnome.com/channel/jenziman2/stream/34989389296","165","825","5","9","0","0","18","6","Dota Underlords,Minion Masters"
"7","Sunday 21st July 2019 11:21","https://sullygnome.com/channel/jenziman2/stream/34988073152","159","636","4","7","0","0","18","6","Dota Underlords"
"8","Friday 19th July 2019 12:42","https://sullygnome.com/channel/jenziman2/stream/34962526992","138","552","4","6","1","0","5","2","Hearthstone"
"9","Thursday 18th July 2019 17:14","https://sullygnome.com/channel/jenziman2/stream/34952512528","196","980","5","8","0","0","19","5","Hearthstone"
"10","Wednesday 17th July 2019 17:30","https://sullygnome.com/channel/jenziman2/stream/34939990400","60","300","5","6","0","0","3","2","Euro Truck Simulator 2"
"11","Wednesday 17th July 2019 12:10","https://sullygnome.com/channel/jenziman2/stream/34937293824","200","1400","7","13","3","0","26","7","Hearthstone"
