"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 00:15","https://sullygnome.com/channel/jessicarae/stream/35104733872","135","675","5","8","1","0","10","4","The Elder Scrolls Online"
"2","Tuesday 30th July 2019 00:30","https://sullygnome.com/channel/jessicarae/stream/35092259712","105","105","1","3","0","0","5","2","The Elder Scrolls Online"
"3","Friday 26th July 2019 00:45","https://sullygnome.com/channel/jessicarae/stream/35044528000","120","120","1","1","1","0","9","4","The Elder Scrolls Online"
"4","Thursday 25th July 2019 00:45","https://sullygnome.com/channel/jessicarae/stream/35032184128","135","135","1","3","0","0","3","1","The Elder Scrolls Online"
"5","Wednesday 24th July 2019 00:05","https://sullygnome.com/channel/jessicarae/stream/35019908176","175","350","2","5","0","0","11","3","The Elder Scrolls Online"
"6","Tuesday 23rd July 2019 01:00","https://sullygnome.com/channel/jessicarae/stream/35007794560","90","90","1","4","0","0","2","1","The Elder Scrolls Online"
"7","Monday 22nd July 2019 00:20","https://sullygnome.com/channel/jessicarae/stream/34995659360","160","160","1","4","1","0","9","3","The Elder Scrolls Online"
"8","Friday 19th July 2019 00:45","https://sullygnome.com/channel/jessicarae/stream/34957568288","180","540","3","6","0","0","13","4","The Elder Scrolls Online"
"9","Thursday 18th July 2019 00:45","https://sullygnome.com/channel/jessicarae/stream/34944821200","195","390","2","4","0","0","4","1","The Elder Scrolls Online"
"10","Wednesday 17th July 2019 00:00","https://sullygnome.com/channel/jessicarae/stream/34932020208","180","360","2","5","0","0","4","1","The Elder Scrolls Online"
"11","Sunday 14th July 2019 02:30","https://sullygnome.com/channel/jessicarae/stream/34896227824","0","0","0","0","0","0","0","0","Unlisted on Twitch"
"12","Saturday 13th July 2019 23:00","https://sullygnome.com/channel/jessicarae/stream/34894287440","45","0","0","0","0","0","0","0","Unlisted on Twitch"
"13","Friday 12th July 2019 00:45","https://sullygnome.com/channel/jessicarae/stream/34870256448","150","150","1","3","0","0","2","0","The Elder Scrolls Online"
"14","Thursday 11th July 2019 01:15","https://sullygnome.com/channel/jessicarae/stream/34858158912","90","90","1","7","0","0","7","4","The Elder Scrolls Online"
"15","Wednesday 10th July 2019 00:45","https://sullygnome.com/channel/jessicarae/stream/34845255984","105","105","1","3","1","0","4","2","The Elder Scrolls Online"
"16","Tuesday 9th July 2019 01:30","https://sullygnome.com/channel/jessicarae/stream/34833209568","45","0","0","1","0","0","1","1","The Elder Scrolls Online"
"17","Friday 5th July 2019 00:30","https://sullygnome.com/channel/jessicarae/stream/34783145344","120","120","1","3","0","0","4","1","The Elder Scrolls Online"
"18","Wednesday 3rd July 2019 00:15","https://sullygnome.com/channel/jessicarae/stream/34758599312","150","0","0","2","0","0","6","2","The Elder Scrolls Online"
"19","Tuesday 2nd July 2019 03:30","https://sullygnome.com/channel/jessicarae/stream/34748072912","30","60","2","2","0","0","1","1","The Elder Scrolls Online"
"20","Tuesday 2nd July 2019 00:45","https://sullygnome.com/channel/jessicarae/stream/34746426288","90","90","1","2","0","0","0","0","The Elder Scrolls Online"
