"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Sunday 21st July 2019 13:15","https://sullygnome.com/channel/johnnybaerbel/stream/34988831936","15","15","1","2","0","0","0","0","Grand Theft Auto V"
"2","Friday 19th July 2019 21:30","https://sullygnome.com/channel/johnnybaerbel/stream/34967851424","270","1350","5","28","3","0","51","10","Grand Theft Auto V"
"3","Thursday 18th July 2019 17:15","https://sullygnome.com/channel/johnnybaerbel/stream/34952487360","150","450","3","5","0","0","22","8","Grand Theft Auto V"
"4","Sunday 14th July 2019 14:35","https://sullygnome.com/channel/johnnybaerbel/stream/34901301792","520","3120","6","13","4","0","99","11","Grand Theft Auto V"
"5","Saturday 13th July 2019 14:30","https://sullygnome.com/channel/johnnybaerbel/stream/34888791216","510","2040","4","10","3","0","48","5","Grand Theft Auto V"
"6","Monday 8th July 2019 17:00","https://sullygnome.com/channel/johnnybaerbel/stream/34827426704","270","1080","4","9","0","0","40","8","Grand Theft Auto V"
"7","Sunday 7th July 2019 18:00","https://sullygnome.com/channel/johnnybaerbel/stream/34816096480","195","780","4","10","0","0","37","10","Grand Theft Auto V"
"8","Saturday 6th July 2019 19:15","https://sullygnome.com/channel/johnnybaerbel/stream/34804325792","285","855","3","6","0","0","25","5","Unlisted on Twitch,Grand Theft Auto V"
"9","Saturday 6th July 2019 11:00","https://sullygnome.com/channel/johnnybaerbel/stream/34799891040","150","600","4","7","0","0","13","4","Grand Theft Auto V"
"10","Friday 5th July 2019 22:45","https://sullygnome.com/channel/johnnybaerbel/stream/34794090832","105","420","4","7","0","0","9","4","The Forest"
"11","Thursday 4th July 2019 18:45","https://sullygnome.com/channel/johnnybaerbel/stream/34779670512","150","300","2","5","0","0","12","4","Grand Theft Auto V"
"12","Monday 1st July 2019 17:15","https://sullygnome.com/channel/johnnybaerbel/stream/34741509840","135","270","2","5","0","0","26","10","Grand Theft Auto V"
