"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Thursday 25th July 2019 21:45","https://sullygnome.com/channel/johnymontana84pl/stream/35042656048","225","225","1","5","0","0","3","0","Plants vs. Zombies: Garden Warfare 2,Mirror's Edge Catalyst,Call of Duty: Modern Warfare Remastered"
"2","Thursday 25th July 2019 17:18","https://sullygnome.com/channel/johnymontana84pl/stream/35039770032","162","162","1","4","0","0","4","1","Just Chatting,Apex Legends,Battlefield V,Star Wars Battlefront II"
"3","Sunday 21st July 2019 23:05","https://sullygnome.com/channel/johnymontana84pl/stream/34994939152","145","290","2","4","0","0","6","3","Call of Duty: WWII"
"4","Sunday 21st July 2019 01:15","https://sullygnome.com/channel/johnymontana84pl/stream/34983846640","150","300","2","3","0","0","4","1","DiRT 4,Call of Duty: WWII"
"5","Thursday 18th July 2019 12:49","https://sullygnome.com/channel/johnymontana84pl/stream/34950174928","221","663","3","8","1","0","7","1","Apex Legends,Mafia III"
"6","Thursday 18th July 2019 02:15","https://sullygnome.com/channel/johnymontana84pl/stream/34946003952","75","150","2","3","0","0","3","2","DiRT 4,Mafia III"
"7","Wednesday 17th July 2019 21:45","https://sullygnome.com/channel/johnymontana84pl/stream/34943199792","225","225","1","4","0","0","8","2","Apex Legends,Assassin's Creed Odyssey,DiRT 4"
"8","Wednesday 17th July 2019 10:00","https://sullygnome.com/channel/johnymontana84pl/stream/34936451040","30","30","1","3","0","0","0","0","Apex Legends"
"9","Saturday 13th July 2019 23:15","https://sullygnome.com/channel/johnymontana84pl/stream/34894332208","150","450","3","6","0","0","7","2","Apex Legends,RAGE 2,Far Cry 3"
"10","Wednesday 10th July 2019 10:45","https://sullygnome.com/channel/johnymontana84pl/stream/34849540512","60","60","1","3","0","0","5","4","RAGE 2"
"11","Tuesday 9th July 2019 22:30","https://sullygnome.com/channel/johnymontana84pl/stream/34843904080","135","270","2","4","0","0","8","3","RAGE 2"
"12","Monday 8th July 2019 22:00","https://sullygnome.com/channel/johnymontana84pl/stream/34830832288","180","360","2","5","0","0","11","3","DiRT 4,PUBG: BATTLEGROUNDS,Apex Legends,Star Wars Battlefront"
"13","Monday 8th July 2019 10:48","https://sullygnome.com/channel/johnymontana84pl/stream/34824556352","177","177","1","7","0","0","6","2","Apex Legends,Assassin's Creed Odyssey"
"14","Saturday 6th July 2019 23:45","https://sullygnome.com/channel/johnymontana84pl/stream/34807353120","135","405","3","5","0","0","9","3","DiRT 4,Apex Legends"
"15","Friday 5th July 2019 23:30","https://sullygnome.com/channel/johnymontana84pl/stream/34794497088","135","270","2","4","0","0","4","1","Red Dead Redemption 2,Worms Battlegrounds,Apex Legends"
"16","Thursday 4th July 2019 15:09","https://sullygnome.com/channel/johnymontana84pl/stream/34777680576","186","372","2","6","0","0","20","6","Call of Duty: Black Ops 4,Red Dead Redemption 2"
"17","Thursday 4th July 2019 09:00","https://sullygnome.com/channel/johnymontana84pl/stream/34775128496","285","1140","4","6","3","0","20","4","Apex Legends,DiRT 4,Call of Duty: Black Ops 4"
"18","Wednesday 3rd July 2019 09:15","https://sullygnome.com/channel/johnymontana84pl/stream/34762712016","150","750","5","10","1","0","27","9","Apex Legends,Heavy Rain"
"19","Tuesday 2nd July 2019 20:15","https://sullygnome.com/channel/johnymontana84pl/stream/34755908448","150","300","2","4","2","0","8","2","Apex Legends,DiRT 4,Call of Duty: Black Ops 4"
"20","Tuesday 2nd July 2019 12:45","https://sullygnome.com/channel/johnymontana84pl/stream/34751246992","105","420","4","7","0","0","5","2","Call of Duty: Black Ops 4"
