"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Tuesday 30th July 2019 00:04","https://sullygnome.com/channel/juan_sad_panda/stream/35091989024","236","2832","12","17","1","0","57","14","Mass Effect 3"
"2","Sunday 28th July 2019 15:03","https://sullygnome.com/channel/juan_sad_panda/stream/35074323488","417","9174","22","31","2","0","201","29","Destiny 2"
"3","Saturday 27th July 2019 15:01","https://sullygnome.com/channel/juan_sad_panda/stream/35062504864","509","12216","24","30","7","0","169","19","Destiny 2"
"4","Thursday 25th July 2019 00:00","https://sullygnome.com/channel/juan_sad_panda/stream/35032060784","225","2700","12","18","0","0","58","14","Destiny 2"
"5","Tuesday 23rd July 2019 00:01","https://sullygnome.com/channel/juan_sad_panda/stream/35007457952","239","2390","10","15","2","0","43","10","Mass Effect 3"
"6","Sunday 21st July 2019 15:00","https://sullygnome.com/channel/juan_sad_panda/stream/34989759296","405","12555","31","41","1","0","278","41","Destiny 2"
"7","Thursday 18th July 2019 00:03","https://sullygnome.com/channel/juan_sad_panda/stream/34944665936","222","3552","16","22","2","0","81","21","Mass Effect 3"
"8","Tuesday 16th July 2019 00:01","https://sullygnome.com/channel/juan_sad_panda/stream/34919473904","239","3824","16","24","1","0","78","20","Mass Effect 3"
"9","Sunday 14th July 2019 16:01","https://sullygnome.com/channel/juan_sad_panda/stream/34902093712","374","7480","20","28","1","0","166","26","Destiny 2"
"10","Saturday 13th July 2019 15:01","https://sullygnome.com/channel/juan_sad_panda/stream/34889099520","374","9350","25","38","4","0","181","28","Destiny 2"
"11","Thursday 11th July 2019 00:00","https://sullygnome.com/channel/juan_sad_panda/stream/34857402448","255","4335","17","27","0","0","97","21","Mass Effect 3"
"12","Tuesday 9th July 2019 00:01","https://sullygnome.com/channel/juan_sad_panda/stream/34832366560","209","3762","18","24","0","0","62","17","Border Officer,Just Chatting"
"13","Sunday 7th July 2019 15:00","https://sullygnome.com/channel/juan_sad_panda/stream/34814281264","510","13770","27","34","5","0","362","42","Destiny 2"
"14","Saturday 6th July 2019 15:00","https://sullygnome.com/channel/juan_sad_panda/stream/34801738400","435","10005","23","31","4","0","153","20","Destiny 2"
"15","Thursday 4th July 2019 00:05","https://sullygnome.com/channel/juan_sad_panda/stream/34771071168","235","3760","16","24","2","0","64","16","Cooking Simulator"
"16","Tuesday 2nd July 2019 00:01","https://sullygnome.com/channel/juan_sad_panda/stream/34745985120","224","2688","12","16","0","0","47","12","Hellblade: Senua's Sacrifice"
