"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","The Sinking City","1380","151680","108","159","2748","119.47826"
"2","The Legend of Zelda: Breath of the Wild","1140","145935","127","195","2472","130.105263"
"3","Resident Evil Outbreak","1050","106950","97","175","2308","131.885714"
"4","Borderlands","1005","88080","87","120","1611","96.179104"
"5","Chrono Trigger","645","77205","119","199","1612","149.953488"
"6","Super Mario Maker 2","585","77490","130","155","1354","138.871794"
"7","Resident Evil Outbreak File #2","225","21135","93","126","353","94.133333"
"8","Hollow Knight","210","23310","111","140","615","175.714285"
"9","Etherborn","210","21225","101","218","608","173.714285"
"10","GeoGuessr","180","24300","135","155","321","107"
"11","Just Chatting","165","12420","80","102","446","162.181818"
"12","Night Call","150","16965","113","121","512","204.8"
"13","The Messenger","90","9540","106","116","179","119.333333"
"14","Griftlands","60","7740","129","136","206","206"
