"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 03:13","https://sullygnome.com/channel/kmiloko10/stream/35106880496","47","658","14","21","1","1","10","10","Grand Theft Auto V"
"2","Wednesday 31st July 2019 01:22","https://sullygnome.com/channel/kmiloko10/stream/35105626256","83","2241","27","33","8","5","26","17","Grand Theft Auto V"
"3","Tuesday 30th July 2019 01:03","https://sullygnome.com/channel/kmiloko10/stream/35092642224","222","3996","18","25","8","2","51","13","Grand Theft Auto V"
"4","Sunday 28th July 2019 05:16","https://sullygnome.com/channel/kmiloko10/stream/35070612912","164","4428","27","35","7","2","43","14","FIFA 19"
"5","Saturday 27th July 2019 01:41","https://sullygnome.com/channel/kmiloko10/stream/35056783984","274","6576","24","37","14","2","88","16","FIFA 19"
"6","Friday 26th July 2019 02:11","https://sullygnome.com/channel/kmiloko10/stream/35045538320","94","2350","25","32","1","0","28","16","FIFA 19"
"7","Thursday 25th July 2019 04:19","https://sullygnome.com/channel/kmiloko10/stream/35034638160","131","4192","32","39","10","4","48","21","FIFA 19"
"8","Wednesday 24th July 2019 02:13","https://sullygnome.com/channel/kmiloko10/stream/35021286416","197","3349","17","23","12","3","32","9","Grand Theft Auto V"
"9","Tuesday 23rd July 2019 00:33","https://sullygnome.com/channel/kmiloko10/stream/35007788272","192","2304","12","17","10","2","42","12","Grand Theft Auto V"
"10","Sunday 21st July 2019 23:15","https://sullygnome.com/channel/kmiloko10/stream/34995030992","285","6840","24","37","14","2","47","9","FIFA 19"
"11","Saturday 20th July 2019 03:18","https://sullygnome.com/channel/kmiloko10/stream/34971579792","522","13050","25","36","41","4","120","13","FIFA 19"
"12","Friday 19th July 2019 01:41","https://sullygnome.com/channel/kmiloko10/stream/34958176800","124","3348","27","31","7","3","30","15","FIFA 19"
"13","Thursday 18th July 2019 01:11","https://sullygnome.com/channel/kmiloko10/stream/34945438080","154","4004","26","48","18","6","51","18","FIFA 19"
"14","Tuesday 16th July 2019 00:45","https://sullygnome.com/channel/kmiloko10/stream/34919933872","315","10710","34","48","28","5","138","25","FIFA 19"
"15","Sunday 14th July 2019 02:29","https://sullygnome.com/channel/kmiloko10/stream/34896269072","226","8814","39","53","33","8","80","20","FIFA 19"
"16","Saturday 13th July 2019 02:38","https://sullygnome.com/channel/kmiloko10/stream/34883914752","232","7424","32","40","16","4","63","15","FIFA 19"
"17","Friday 12th July 2019 02:36","https://sullygnome.com/channel/kmiloko10/stream/34871499184","264","6336","24","35","15","3","56","12","FIFA 19"
"18","Thursday 11th July 2019 01:04","https://sullygnome.com/channel/kmiloko10/stream/34858108784","176","5456","31","42","17","5","46","15","FIFA 19"
"19","Wednesday 10th July 2019 01:38","https://sullygnome.com/channel/kmiloko10/stream/34845958656","97","3589","37","49","22","12","36","20","FIFA 19"
"20","Tuesday 9th July 2019 01:40","https://sullygnome.com/channel/kmiloko10/stream/34833428288","125","4000","32","40","17","9","43","24","FIFA 19"
"21","Monday 8th July 2019 00:50","https://sullygnome.com/channel/kmiloko10/stream/34820597120","175","3850","22","28","9","3","29","9","FIFA 19"
"22","Sunday 7th July 2019 02:37","https://sullygnome.com/channel/kmiloko10/stream/34809053168","263","7890","30","45","21","4","75","16","FIFA 19"
"23","Saturday 6th July 2019 03:03","https://sullygnome.com/channel/kmiloko10/stream/34796725360","192","3648","19","26","13","4","21","6","FIFA 19"
"24","Friday 5th July 2019 02:08","https://sullygnome.com/channel/kmiloko10/stream/34784135360","172","3096","18","30","4","1","27","9","FIFA 19"
"25","Wednesday 3rd July 2019 01:41","https://sullygnome.com/channel/kmiloko10/stream/34759589152","169","3211","19","34","9","3","36","12","FIFA 19"
"26","Monday 1st July 2019 01:22","https://sullygnome.com/channel/kmiloko10/stream/34734851552","218","4360","20","26","6","1","21","6","FIFA 19"
