"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Tuesday 30th July 2019 20:35","https://sullygnome.com/channel/kojotgenije/stream/35102361648","235","5170","22","40","18","4","194","51","World of Tanks"
"2","Monday 29th July 2019 20:45","https://sullygnome.com/channel/kojotgenije/stream/35089826784","210","3780","18","25","12","3","147","39","World of Tanks"
"3","Sunday 28th July 2019 21:15","https://sullygnome.com/channel/kojotgenije/stream/35078016880","165","4455","27","66","14","4","158","52","World of Tanks"
"4","Sunday 28th July 2019 14:51","https://sullygnome.com/channel/kojotgenije/stream/35074050544","174","1740","10","17","9","2","146","41","World of Tanks"
"5","Thursday 25th July 2019 20:29","https://sullygnome.com/channel/kojotgenije/stream/35041955424","181","2715","15","24","4","1","122","37","World of Tanks"
"6","Tuesday 23rd July 2019 20:01","https://sullygnome.com/channel/kojotgenije/stream/35017281712","209","2926","14","27","6","1","131","37","World of Tanks"
"7","Friday 19th July 2019 22:15","https://sullygnome.com/channel/kojotgenije/stream/34968459024","195","1950","10","18","8","2","91","26","World of Tanks"
"8","Wednesday 17th July 2019 21:04","https://sullygnome.com/channel/kojotgenije/stream/34942741840","191","1337","7","11","4","1","88","29","World of Tanks"
"9","Monday 15th July 2019 20:59","https://sullygnome.com/channel/kojotgenije/stream/34917556128","136","1360","10","33","7","2","70","28","World of Tanks"
"10","Tuesday 2nd July 2019 22:03","https://sullygnome.com/channel/kojotgenije/stream/34757247840","162","3240","20","37","8","2","121","44","World of Tanks"
