"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Dota 2","2070","24435","10","38","2195","63.623188"
"2","Path of Exile","1485","38700","22","70","3106","125.494949"
"3","Diablo: Hellfire","450","6285","13","32","598","79.733333"
"4","Monster Boy and the Cursed Kingdom","360","4770","14","29","345","57.5"
"5","Torchlight","345","4515","12","21","252","43.826086"
"6","Hollow Knight","330","4365","13","18","312","56.727272"
"7","Iratus: Lord of the Dead","300","4620","14","22","352","70.4"
"8","Age of Wonders III","270","3930","13","24","434","96.444444"
"9","Minion Masters","225","4035","22","59","1025","273.333333"
"10","Age of Wonders","195","2400","12","19","279","85.846153"
"11","Seeds of Resilience","150","1440","8","14","116","46.4"
"12","Warcraft: Orcs & Humans","90","1050","11","15","63","42"
"13","Balancelot","45","660","14","16","16","21.333333"
"14","TRIALS OF FIRE","45","270","6","7","40","53.333333"
