"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Tuesday 30th July 2019 05:15","https://sullygnome.com/channel/kubskoutz/stream/35094782592","285","2850","10","15","2","0","50","10","Just Chatting,Teamfight Tactics,Hellblade: Senua's Sacrifice"
"2","Saturday 27th July 2019 23:30","https://sullygnome.com/channel/kubskoutz/stream/35067290080","0","0","25","25","0","0","0","0","Just Chatting"
"3","Saturday 27th July 2019 05:04","https://sullygnome.com/channel/kubskoutz/stream/35058840208","176","2112","12","19","2","0","63","22","Just Chatting,The Evil Within 2,Music"
"4","Saturday 27th July 2019 05:00","https://sullygnome.com/channel/kubskoutz/stream/35058795824","0","0","7","11","0","0","18","72","Just Chatting"
"5","Thursday 25th July 2019 05:04","https://sullygnome.com/channel/kubskoutz/stream/35034826048","251","3012","12","16","2","0","73","16","Just Chatting"
"6","Tuesday 23rd July 2019 05:37","https://sullygnome.com/channel/kubskoutz/stream/35010549984","233","1864","8","12","1","0","34","8","Just Chatting,Teamfight Tactics,Hellblade: Senua's Sacrifice"
"7","Sunday 21st July 2019 05:44","https://sullygnome.com/channel/kubskoutz/stream/34986219712","106","1272","12","15","0","0","17","9","The Evil Within 2"
"8","Saturday 20th July 2019 06:17","https://sullygnome.com/channel/kubskoutz/stream/34972984352","193","1158","6","12","0","0","20","6","Just Chatting,Teamfight Tactics"
"9","Thursday 18th July 2019 05:22","https://sullygnome.com/channel/kubskoutz/stream/34947702720","188","1692","9","19","1","0","29","9","Teamfight Tactics,Mario Kart 8"
"10","Tuesday 16th July 2019 05:12","https://sullygnome.com/channel/kubskoutz/stream/34922384784","318","2862","9","15","3","0","57","10","Just Chatting,Teamfight Tactics,Hellblade: Senua's Sacrifice,Twitch Sings"
"11","Saturday 13th July 2019 06:41","https://sullygnome.com/channel/kubskoutz/stream/34885824304","169","5070","30","58","9","3","133","48","Just Chatting"
"12","Thursday 11th July 2019 07:34","https://sullygnome.com/channel/kubskoutz/stream/34861105728","101","1212","12","15","1","0","9","6","Hellblade: Senua's Sacrifice,Just Chatting"
"13","Thursday 11th July 2019 05:29","https://sullygnome.com/channel/kubskoutz/stream/34860443312","121","1331","11","16","2","1","63","31","Just Chatting,Mario Kart 8,Hellblade: Senua's Sacrifice"
"14","Tuesday 9th July 2019 04:44","https://sullygnome.com/channel/kubskoutz/stream/34835094400","361","4332","12","20","2","0","82","14","Just Chatting,Hellblade: Senua's Sacrifice,Mario Kart 8,Teamfight Tactics"
"15","Sunday 7th July 2019 05:25","https://sullygnome.com/channel/kubskoutz/stream/34810437136","170","1190","7","10","1","0","19","6","Just Chatting,The Legend of Zelda: Breath of the Wild"
"16","Friday 5th July 2019 06:21","https://sullygnome.com/channel/kubskoutz/stream/34785865728","234","3978","17","22","5","1","73","18","Just Chatting,Unlisted on Twitch,The Jackbox Party Pack 5"
"17","Tuesday 2nd July 2019 05:45","https://sullygnome.com/channel/kubskoutz/stream/34748876416","270","2160","8","14","1","0","51","10","Just Chatting,Hellblade: Senua's Sacrifice"
