"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 11:52","https://sullygnome.com/channel/kurolily/stream/35110287088","533","144443","271","372","66","7","19088","2120","Fire Emblem: Three Houses,Just Chatting,Magic: The Gathering"
"2","Tuesday 30th July 2019 06:53","https://sullygnome.com/channel/kurolily/stream/35095468240","187","28237","151","211","1","0","2837","872","Magic: The Gathering"
"3","Monday 29th July 2019 18:56","https://sullygnome.com/channel/kurolily/stream/35088480480","139","25576","184","217","23","9","2742","1096","Just Chatting"
"4","Monday 29th July 2019 15:02","https://sullygnome.com/channel/kurolily/stream/35085986144","103","23896","232","299","14","7","2143","1071","Just Chatting"
"5","Friday 26th July 2019 18:52","https://sullygnome.com/channel/kurolily/stream/35052839744","128","14336","112","127","3","1","1015","451","Dry Drowning"
"6","Friday 26th July 2019 11:53","https://sullygnome.com/channel/kurolily/stream/35049157360","322","86296","268","308","1","0","5237","952","Fire Emblem: Three Houses"
"7","Thursday 25th July 2019 11:51","https://sullygnome.com/channel/kurolily/stream/35037114144","324","71604","221","283","32","5","5829","1059","NieR: Automata,Teamfight Tactics"
"8","Wednesday 24th July 2019 18:57","https://sullygnome.com/channel/kurolily/stream/35028725520","123","18450","150","181","15","6","2221","987","Just Chatting"
"9","Wednesday 24th July 2019 11:50","https://sullygnome.com/channel/kurolily/stream/35024850272","310","70370","227","259","12","2","6014","1145","NieR: Automata,Teamfight Tactics"
"10","Tuesday 23rd July 2019 06:50","https://sullygnome.com/channel/kurolily/stream/35010953328","190","30400","160","197","20","6","2970","913","Magic: The Gathering"
"11","Monday 22nd July 2019 19:00","https://sullygnome.com/channel/kurolily/stream/35003997552","135","23760","176","202","23","9","2000","800","Just Chatting"
"12","Monday 22nd July 2019 12:00","https://sullygnome.com/channel/kurolily/stream/35000114864","315","87570","278","336","47","8","7005","1273","Just Chatting,NieR: Automata"
"13","Saturday 20th July 2019 12:11","https://sullygnome.com/channel/kurolily/stream/34975040192","289","76007","263","392","38","7","5510","1102","The Sims 4,Teamfight Tactics,Just Chatting"
"14","Saturday 20th July 2019 07:03","https://sullygnome.com/channel/kurolily/stream/34973256688","177","30798","174","244","9","3","3177","1059","Magic: The Gathering"
"15","Friday 19th July 2019 18:50","https://sullygnome.com/channel/kurolily/stream/34966103632","190","27930","147","170","11","3","1661","511","Dry Drowning"
"16","Friday 19th July 2019 11:52","https://sullygnome.com/channel/kurolily/stream/34962198608","323","71060","220","270","38","6","5266","957","Just Chatting,NieR: Automata,Teamfight Tactics"
"17","Thursday 18th July 2019 11:54","https://sullygnome.com/channel/kurolily/stream/34949794096","306","63648","208","250","31","6","5131","1026","Just Chatting,CryoFall"
"18","Wednesday 17th July 2019 19:00","https://sullygnome.com/channel/kurolily/stream/34941126256","150","21000","140","196","11","4","1297","471","Just Chatting"
"19","Wednesday 17th July 2019 11:50","https://sullygnome.com/channel/kurolily/stream/34937156688","310","81530","263","319","22","4","5785","1101","Just Chatting,NieR: Automata,Teamfight Tactics"
"20","Tuesday 16th July 2019 07:00","https://sullygnome.com/channel/kurolily/stream/34922957456","195","33345","171","215","17","4","3656","1044","Magic: The Gathering"
"21","Monday 15th July 2019 18:49","https://sullygnome.com/channel/kurolily/stream/34916003616","131","18864","144","181","9","3","1187","474","Just Chatting"
"22","Monday 15th July 2019 11:51","https://sullygnome.com/channel/kurolily/stream/34912121232","309","84357","273","336","10","2","5914","1182","NieR: Automata,Teamfight Tactics"
"23","Saturday 13th July 2019 06:57","https://sullygnome.com/channel/kurolily/stream/34885911296","183","34953","191","255","25","7","3647","1122","Magic: The Gathering"
"24","Thursday 11th July 2019 11:53","https://sullygnome.com/channel/kurolily/stream/34862478336","307","83504","272","431","57","10","7158","1363","Just Chatting,Barotrauma,Teamfight Tactics"
"25","Wednesday 10th July 2019 18:51","https://sullygnome.com/channel/kurolily/stream/34853921840","144","23184","161","232","13","5","1473","589","Just Chatting"
"26","Wednesday 10th July 2019 11:47","https://sullygnome.com/channel/kurolily/stream/34849964736","328","87904","268","325","55","10","6959","1265","Just Chatting,FINAL FANTASY XIV ONLINE,Teamfight Tactics"
"27","Tuesday 9th July 2019 07:15","https://sullygnome.com/channel/kurolily/stream/34835814496","165","25740","156","192","4","1","2810","936","Magic: The Gathering"
"28","Monday 8th July 2019 19:00","https://sullygnome.com/channel/kurolily/stream/34828841008","120","17760","148","182","24","10","1069","475","Just Chatting"
"29","Monday 8th July 2019 11:53","https://sullygnome.com/channel/kurolily/stream/34824960656","322","91770","285","341","39","7","6721","1222","Just Chatting,Teamfight Tactics"
"30","Saturday 6th July 2019 06:50","https://sullygnome.com/channel/kurolily/stream/34798431152","190","38000","200","225","13","4","2697","899","Magic: The Gathering"
"31","Friday 5th July 2019 18:52","https://sullygnome.com/channel/kurolily/stream/34791441968","143","33605","235","285","16","6","2661","1064","Teamfight Tactics"
"32","Friday 5th July 2019 11:48","https://sullygnome.com/channel/kurolily/stream/34787587120","357","88893","249","291","24","4","6413","1068","Children of Morta,Sea of Solitude"
"33","Thursday 4th July 2019 11:52","https://sullygnome.com/channel/kurolily/stream/34776158944","308","72072","234","364","27","5","5572","1061","Teamfight Tactics,Children of Morta"
"34","Wednesday 3rd July 2019 18:54","https://sullygnome.com/channel/kurolily/stream/34767623728","126","20538","163","213","14","6","1411","627","Just Chatting"
"35","Wednesday 3rd July 2019 11:46","https://sullygnome.com/channel/kurolily/stream/34763557312","329","86527","263","327","38","6","6458","1123","Just Chatting,Children of Morta,FINAL FANTASY XIV ONLINE"
"36","Tuesday 2nd July 2019 11:44","https://sullygnome.com/channel/kurolily/stream/34750886464","331","108899","329","528","39","6","6951","1208","Just Chatting,FIFA 18,Teamfight Tactics"
"37","Tuesday 2nd July 2019 06:47","https://sullygnome.com/channel/kurolily/stream/34749355536","193","37249","193","226","20","6","2993","920","Magic: The Gathering"
"38","Monday 1st July 2019 19:00","https://sullygnome.com/channel/kurolily/stream/34742563568","120","18240","152","180","7","3","1210","537","Teamfight Tactics,Just Chatting"
"39","Monday 1st July 2019 11:51","https://sullygnome.com/channel/kurolily/stream/34738733184","309","95481","309","391","16","3","7084","1349","Teamfight Tactics,FINAL FANTASY XIV ONLINE"
