"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Friday 26th July 2019 16:13","https://sullygnome.com/channel/lpsoldier0303/stream/35051190768","212","636","3","9","0","0","7","2","Resident Evil 7: Biohazard"
"2","Thursday 25th July 2019 21:31","https://sullygnome.com/channel/lpsoldier0303/stream/35042608368","344","2064","6","9","3","0","32","5","Resident Evil 7: Biohazard"
"3","Monday 22nd July 2019 23:34","https://sullygnome.com/channel/lpsoldier0303/stream/35007172080","176","704","4","6","1","0","5","1","Resident Evil 7: Biohazard,Super Mario Maker 2"
"4","Thursday 18th July 2019 00:00","https://sullygnome.com/channel/lpsoldier0303/stream/34944475392","315","1890","6","9","4","0","32","5","Super Mario Maker 2"
"5","Monday 15th July 2019 22:15","https://sullygnome.com/channel/lpsoldier0303/stream/34918339872","300","1200","4","7","3","0","23","4","Resident Evil 7: Biohazard,Super Mario Maker 2"
"6","Friday 12th July 2019 00:00","https://sullygnome.com/channel/lpsoldier0303/stream/34869823040","330","1650","5","12","5","0","32","5","Resident Evil 7: Biohazard,Super Mario Maker 2"
"7","Monday 8th July 2019 23:24","https://sullygnome.com/channel/lpsoldier0303/stream/34831978032","336","1680","5","8","4","0","39","6","Resident Evil 7: Biohazard,Super Mario Maker 2"
"8","Monday 8th July 2019 00:47","https://sullygnome.com/channel/lpsoldier0303/stream/34820569408","238","1666","7","12","5","1","24","6","Super Mario Maker 2"
"9","Friday 5th July 2019 22:53","https://sullygnome.com/channel/lpsoldier0303/stream/34794197520","292","1752","6","9","1","0","22","4","Resident Evil 7: Biohazard,Super Mario Maker 2"
"10","Thursday 4th July 2019 23:58","https://sullygnome.com/channel/lpsoldier0303/stream/34783077664","287","1435","5","12","1","0","21","4","Super Mario Maker 2"
"11","Wednesday 3rd July 2019 21:51","https://sullygnome.com/channel/lpsoldier0303/stream/34769690944","204","816","4","6","0","0","12","3","Super Mario Maker 2"
"12","Monday 1st July 2019 22:30","https://sullygnome.com/channel/lpsoldier0303/stream/34744996896","225","1575","7","12","0","0","36","9","Resident Evil 7: Biohazard"
