"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 23:09","https://sullygnome.com/channel/lefede/stream/35117260448","141","4935","35","46","9","3","206","82","League of Legends"
"2","Wednesday 31st July 2019 18:24","https://sullygnome.com/channel/lefede/stream/35113936960","141","4794","34","44","5","2","192","76","League of Legends"
"3","Wednesday 31st July 2019 17:00","https://sullygnome.com/channel/lefede/stream/35112940880","45","1350","30","36","0","0","28","37","League of Legends"
"4","Wednesday 31st July 2019 04:12","https://sullygnome.com/channel/lefede/stream/35107439424","93","3906","42","48","6","3","163","93","League of Legends"
"5","Tuesday 30th July 2019 17:30","https://sullygnome.com/channel/lefede/stream/35100086784","75","1950","26","39","5","3","172","114","League of Legends"
"6","Monday 29th July 2019 18:13","https://sullygnome.com/channel/lefede/stream/35087960256","47","1974","42","51","2","2","94","94","League of Legends"
"7","Monday 29th July 2019 00:04","https://sullygnome.com/channel/lefede/stream/35079880064","236","10384","44","68","10","2","396","99","League of Legends"
"8","Saturday 27th July 2019 17:39","https://sullygnome.com/channel/lefede/stream/35063860688","96","4416","46","64","9","4","244","122","League of Legends"
"9","Monday 22nd July 2019 03:04","https://sullygnome.com/channel/lefede/stream/34997194848","86","2064","24","30","1","0","44","29","Just Chatting,Teamfight Tactics"
"10","Saturday 20th July 2019 04:54","https://sullygnome.com/channel/lefede/stream/34972411312","201","7638","38","54","15","4","285","81","League of Legends,Just Chatting,Unlisted on Twitch"
"11","Friday 19th July 2019 16:13","https://sullygnome.com/channel/lefede/stream/34964335872","152","6232","41","57","7","2","164","59","League of Legends"
"12","Friday 19th July 2019 04:23","https://sullygnome.com/channel/lefede/stream/34958691680","82","3690","45","58","11","3","325","100","League of Legends,Teamfight Tactics"
"13","Thursday 18th July 2019 21:51","https://sullygnome.com/channel/lefede/stream/34955719072","159","5565","35","46","5","1","203","73","League of Legends"
"14","Wednesday 17th July 2019 15:28","https://sullygnome.com/channel/lefede/stream/34938889424","227","7491","33","42","6","1","284","81","League of Legends"
"15","Friday 12th July 2019 04:02","https://sullygnome.com/channel/lefede/stream/34872282832","163","5542","34","47","4","1","213","71","League of Legends"
"16","Thursday 11th July 2019 20:44","https://sullygnome.com/channel/lefede/stream/34867734784","256","10752","42","54","6","1","347","81","League of Legends"
"17","Saturday 6th July 2019 03:48","https://sullygnome.com/channel/lefede/stream/34797129552","132","3696","28","45","5","2","144","57","League of Legends"
"18","Friday 5th July 2019 19:37","https://sullygnome.com/channel/lefede/stream/34792016432","98","2352","24","31","3","1","74","42","League of Legends"
"19","Thursday 4th July 2019 20:59","https://sullygnome.com/channel/lefede/stream/34781487328","226","8814","39","53","13","3","414","110","League of Legends"
"20","Wednesday 3rd July 2019 02:54","https://sullygnome.com/channel/lefede/stream/34760335168","231","10395","45","66","24","6","317","79","League of Legends"
"21","Tuesday 2nd July 2019 18:40","https://sullygnome.com/channel/lefede/stream/34754831616","245","8820","36","44","10","2","333","83","League of Legends"
