"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Tuesday 30th July 2019 19:15","https://sullygnome.com/channel/legrosbubu/stream/35101272256","225","1125","5","9","3","0","67","16","Science &amp; Technology"
"2","Monday 29th July 2019 19:07","https://sullygnome.com/channel/legrosbubu/stream/35088641968","248","1736","7","15","2","0","45","10","Science &amp; Technology"
"3","Saturday 27th July 2019 19:00","https://sullygnome.com/channel/legrosbubu/stream/35064848464","450","1350","3","7","0","0","29","3","Teamfight Tactics,Science &amp; Technology"
"4","Friday 26th July 2019 19:03","https://sullygnome.com/channel/legrosbubu/stream/35052972304","387","2709","7","12","4","0","72","11","Science &amp; Technology"
"5","Tuesday 23rd July 2019 19:22","https://sullygnome.com/channel/legrosbubu/stream/35016815664","218","872","4","7","0","0","20","5","Science &amp; Technology,Teamfight Tactics"
"6","Monday 22nd July 2019 19:00","https://sullygnome.com/channel/legrosbubu/stream/35004103312","300","2100","7","10","1","0","73","14","Science &amp; Technology"
"7","Friday 19th July 2019 19:15","https://sullygnome.com/channel/legrosbubu/stream/34966347904","210","630","3","6","-2","0","15","4","Sea of Thieves"
"8","Wednesday 17th July 2019 19:18","https://sullygnome.com/channel/legrosbubu/stream/34941490960","222","1110","5","7","0","0","12","3","Teamfight Tactics"
"9","Tuesday 16th July 2019 21:38","https://sullygnome.com/channel/legrosbubu/stream/34930467568","97","970","10","13","2","1","16","10","Science &amp; Technology"
"10","Tuesday 16th July 2019 19:06","https://sullygnome.com/channel/legrosbubu/stream/34928690736","144","1008","7","13","4","1","31","12","Unlisted on Twitch,Science &amp; Technology"
"11","Monday 15th July 2019 19:15","https://sullygnome.com/channel/legrosbubu/stream/34916214080","240","1200","5","9","0","0","18","4","Science &amp; Technology,League of Legends"
"12","Friday 12th July 2019 19:14","https://sullygnome.com/channel/legrosbubu/stream/34879158032","556","2224","4","9","1","0","85","8","Science &amp; Technology"
"13","Thursday 11th July 2019 19:15","https://sullygnome.com/channel/legrosbubu/stream/34866515104","225","1125","5","9","2","0","51","12","Satisfactory"
"14","Tuesday 9th July 2019 19:15","https://sullygnome.com/channel/legrosbubu/stream/34841565056","255","1275","5","9","2","0","27","6","Science &amp; Technology,League of Legends"
"15","Monday 8th July 2019 21:07","https://sullygnome.com/channel/legrosbubu/stream/34829500240","188","1128","6","10","0","0","48","10","Science &amp; Technology"
"16","Friday 5th July 2019 20:38","https://sullygnome.com/channel/legrosbubu/stream/34792741376","277","1385","5","10","2","0","41","8","Science &amp; Technology"
"17","Friday 5th July 2019 19:15","https://sullygnome.com/channel/legrosbubu/stream/34791639344","30","90","3","5","0","0","3","4","Science &amp; Technology"
"18","Thursday 4th July 2019 19:02","https://sullygnome.com/channel/legrosbubu/stream/34780165600","223","446","2","6","-1","0","30","7","Grand Theft Auto V"
"19","Tuesday 2nd July 2019 19:02","https://sullygnome.com/channel/legrosbubu/stream/34755122448","298","1192","4","8","0","0","23","4","Unlisted on Twitch"
"20","Monday 1st July 2019 18:59","https://sullygnome.com/channel/legrosbubu/stream/34742718160","286","1430","5","7","1","0","26","5","Unlisted on Twitch"
