"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 20:43","https://sullygnome.com/channel/legenddaria/stream/35115638304","17","272","16","19","3","6","44","88","Just Chatting"
"2","Wednesday 31st July 2019 18:04","https://sullygnome.com/channel/legenddaria/stream/35113686512","131","2227","17","25","4","2","219","109","Just Chatting"
"3","Wednesday 31st July 2019 18:00","https://sullygnome.com/channel/legenddaria/stream/35113623776","0","0","14","21","3","12","45","180","Just Chatting"
"4","Monday 29th July 2019 20:12","https://sullygnome.com/channel/legenddaria/stream/35089433072","108","1728","16","22","6","3","103","58","Just Chatting"
"5","Sunday 28th July 2019 19:31","https://sullygnome.com/channel/legenddaria/stream/35077078528","89","1958","22","25","4","2","84","56","Just Chatting"
"6","Saturday 27th July 2019 20:00","https://sullygnome.com/channel/legenddaria/stream/35065467760","75","1725","23","32","1","0","95","63","Just Chatting"
"7","Friday 26th July 2019 21:30","https://sullygnome.com/channel/legenddaria/stream/35054575008","45","855","19","21","0","0","123","164","Just Chatting"
"8","Friday 26th July 2019 19:22","https://sullygnome.com/channel/legenddaria/stream/35053189040","113","2147","19","26","6","3","186","93","Just Chatting"
"9","Thursday 25th July 2019 20:19","https://sullygnome.com/channel/legenddaria/stream/35041846832","86","1806","21","26","2","1","107","71","Just Chatting"
"10","Wednesday 24th July 2019 18:57","https://sullygnome.com/channel/legenddaria/stream/35028723616","123","2583","21","26","2","1","162","81","Just Chatting"
"11","Tuesday 23rd July 2019 19:54","https://sullygnome.com/channel/legenddaria/stream/35017194064","96","1824","19","27","2","1","117","66","Just Chatting"
"12","Monday 22nd July 2019 20:00","https://sullygnome.com/channel/legenddaria/stream/35004831664","60","1500","25","33","1","1","117","117","Just Chatting"
"13","Sunday 21st July 2019 20:00","https://sullygnome.com/channel/legenddaria/stream/34993013040","135","3105","23","30","3","1","271","120","Just Chatting"
"14","Saturday 20th July 2019 20:04","https://sullygnome.com/channel/legenddaria/stream/34980708352","101","2424","24","31","6","3","127","72","Just Chatting"
"15","Friday 19th July 2019 21:45","https://sullygnome.com/channel/legenddaria/stream/34968025408","0","0","23","30","3","12","102","408","Just Chatting"
"16","Friday 19th July 2019 19:33","https://sullygnome.com/channel/legenddaria/stream/34966634272","102","1938","19","30","10","5","246","123","Just Chatting"
"17","Thursday 18th July 2019 19:17","https://sullygnome.com/channel/legenddaria/stream/34953981392","118","3068","26","38","9","4","151","75","Just Chatting"
"18","Wednesday 17th July 2019 20:18","https://sullygnome.com/channel/legenddaria/stream/34942216224","72","2016","28","39","7","5","248","198","Just Chatting"
"19","Wednesday 17th July 2019 19:45","https://sullygnome.com/channel/legenddaria/stream/34941787344","15","240","16","31","5","10","135","270","Just Chatting"
"20","Tuesday 16th July 2019 19:09","https://sullygnome.com/channel/legenddaria/stream/34928732432","66","2046","31","45","65","65","0","0","Just Chatting"
"21","Monday 15th July 2019 19:24","https://sullygnome.com/channel/legenddaria/stream/34916451136","66","924","14","16","2","1","71","56","Just Chatting"
"22","Saturday 13th July 2019 17:45","https://sullygnome.com/channel/legenddaria/stream/34890659344","0","0","18","18","0","0","0","0","Just Chatting"
"23","Friday 12th July 2019 19:06","https://sullygnome.com/channel/legenddaria/stream/34879067760","159","3975","25","33","5","1","164","59","Just Chatting"
"24","Thursday 11th July 2019 17:03","https://sullygnome.com/channel/legenddaria/stream/34865116528","312","7800","25","35","18","3","266","53","Just Chatting"
"25","Wednesday 10th July 2019 19:38","https://sullygnome.com/channel/legenddaria/stream/34854501536","247","5434","22","29","10","2","133","35","Just Chatting"
"26","Tuesday 9th July 2019 17:37","https://sullygnome.com/channel/legenddaria/stream/34840471056","353","10237","29","38","16","2","505","84","Just Chatting"
"27","Saturday 6th July 2019 20:02","https://sullygnome.com/channel/legenddaria/stream/34805016496","238","20944","88","138","24","6","440","110","Just Chatting,Icarus Online"
"28","Wednesday 3rd July 2019 21:36","https://sullygnome.com/channel/legenddaria/stream/34769535872","219","5913","27","39","15","4","298","79","Just Chatting"
"29","Wednesday 3rd July 2019 20:03","https://sullygnome.com/channel/legenddaria/stream/34768489200","57","1197","21","25","7","7","84","84","Just Chatting"
"30","Tuesday 2nd July 2019 21:20","https://sullygnome.com/channel/legenddaria/stream/34756770416","235","3525","15","19","8","2","84","21","Just Chatting"
"31","Tuesday 2nd July 2019 17:10","https://sullygnome.com/channel/legenddaria/stream/34753686192","155","2480","16","23","7","2","123","49","Just Chatting"
"32","Monday 1st July 2019 18:02","https://sullygnome.com/channel/legenddaria/stream/34741986640","253","3289","13","18","8","1","203","45","Just Chatting"
