"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Tuesday 30th July 2019 15:45","https://sullygnome.com/channel/letssepp/stream/35098954480","285","18810","66","85","-1","0","123","24","Just Chatting,League of Legends"
"2","Monday 29th July 2019 15:48","https://sullygnome.com/channel/letssepp/stream/35086379888","267","15753","59","73","5","1","116","24","League of Legends,Just Chatting"
"3","Sunday 28th July 2019 15:42","https://sullygnome.com/channel/letssepp/stream/35074666704","318","24486","77","100","4","0","134","24","League of Legends,Just Chatting"
"4","Tuesday 23rd July 2019 15:49","https://sullygnome.com/channel/letssepp/stream/35014382608","311","19282","62","84","1","0","129","23","League of Legends,Just Chatting"
"5","Monday 22nd July 2019 15:45","https://sullygnome.com/channel/letssepp/stream/35001962096","315","13545","43","74","6","1","175","31","Just Chatting,League of Legends"
"6","Wednesday 17th July 2019 15:50","https://sullygnome.com/channel/letssepp/stream/34939086944","310","23250","75","100","3","0","159","30","Just Chatting,League of Legends"
"7","Tuesday 16th July 2019 15:44","https://sullygnome.com/channel/letssepp/stream/34926397344","301","18662","62","80","5","1","98","20","League of Legends,Just Chatting"
"8","Monday 15th July 2019 15:40","https://sullygnome.com/channel/letssepp/stream/34913904224","305","17080","56","78","1","0","144","27","League of Legends,Just Chatting"
"9","Sunday 14th July 2019 14:52","https://sullygnome.com/channel/letssepp/stream/34901441408","308","22484","73","81","5","1","143","30","Just Chatting,League of Legends"
"10","Friday 12th July 2019 15:05","https://sullygnome.com/channel/letssepp/stream/34876456992","340","16320","48","59","0","0","104","18","League of Legends,Teamfight Tactics,Counter-Strike"
"11","Thursday 11th July 2019 15:45","https://sullygnome.com/channel/letssepp/stream/34864309056","315","16695","53","72","0","0","105","19","Teamfight Tactics,League of Legends"
"12","Tuesday 9th July 2019 15:42","https://sullygnome.com/channel/letssepp/stream/34839249616","258","14448","56","74","0","0","109","24","League of Legends,Teamfight Tactics"
"13","Monday 8th July 2019 15:46","https://sullygnome.com/channel/letssepp/stream/34826815584","224","12768","57","70","-1","0","87","23","Teamfight Tactics,League of Legends"
"14","Sunday 7th July 2019 15:45","https://sullygnome.com/channel/letssepp/stream/34814692560","300","21600","72","88","3","0","144","28","Teamfight Tactics"
"15","Friday 5th July 2019 15:46","https://sullygnome.com/channel/letssepp/stream/34789455696","404","23028","57","72","-2","0","118","18","The Evil Within 2,Teamfight Tactics"
"16","Thursday 4th July 2019 15:47","https://sullygnome.com/channel/letssepp/stream/34778020608","253","14168","56","71","1","0","107","25","League of Legends,Teamfight Tactics"
"17","Tuesday 2nd July 2019 15:25","https://sullygnome.com/channel/letssepp/stream/34752614272","275","12375","45","60","-1","0","100","21","League of Legends,Teamfight Tactics"
"18","Monday 1st July 2019 15:44","https://sullygnome.com/channel/letssepp/stream/34740539552","226","9944","44","57","0","0","91","22","Teamfight Tactics,League of Legends"
