"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Heroes of the Storm","2925","112770","36","108","3002","61.579487"
"2","Monster Boy and the Cursed Kingdom","600","14970","23","43","536","53.6"
"3","Games + Demos","300","9150","28","53","335","67"
"4","Mario Kart 8","255","7515","29","43","197","46.352941"
"5","Octopath Traveler","210","5520","24","46","284","81.142857"
"6","The Legend of Zelda: Breath of the Wild","180","4890","27","43","166","55.333333"
"7","Super Mario Odyssey","105","2175","20","32","56","32"
"8","Muse Dash","105","1635","15","20","194","110.857142"
"9","Just Chatting","105","4005","38","46","96","54.857142"
"10","Towertale","90","2910","32","35","50","33.333333"
"11","Summer Catchers","75","2025","27","34","68","54.4"
"12","Devious Dungeon 2","75","2700","36","58","136","108.8"
"13","Eagle Island","75","2100","28","33","81","64.8"
"14","Moonlighter","75","1395","18","24","50","40"
"15","Dungeon of Dragon Knight","60","1935","32","36","81","81"
"16","Cybarian: The Time Travelling Warrior","60","870","14","22","74","74"
"17","Hero Express","60","2175","36","45","74","74"
"18","Super Sportmatchen","45","840","18","24","52","69.333333"
"19","Blazing Chrome","45","1155","25","28","64","85.333333"
"20","Skelly Selest","45","1155","25","29","14","18.666666"
"21","Way of the Passive Fist","45","840","18","20","25","33.333333"
"22","Woodle Tree 2: Worlds","45","945","21","23","39","52"
"23","Damsel","45","1275","28","30","45","60"
"24","OVIVO","45","990","22","26","27","36"
"25","PAWARUMi","30","240","8","11","15","30"
"26","Invisigun Heroes","30","1155","38","46","88","176"
"27","Bird Game","30","870","29","30","64","128"
"28","Ravva and the Cyclops Curse","30","1440","48","70","64","128"
"29","Tiny Metal: Full Metal Rumble","30","855","28","30","15","30"
"30","Trancelation","30","300","10","12","0","0"
"31","Freakout: Calamity TV Show","15","450","30","30","37","148"
"32","Galactic Bulwark Strike","15","255","17","17","0","0"
"33","Soundfall","15","255","17","17","28","112"
"34","Dungeon Stars","15","285","19","19","42","168"
"35","Shikhondo: Soul Eater","15","165","11","11","46","184"
"36","Mochi Mochi Boy","15","495","33","33","45","180"
"37","Steel Rats","15","360","24","24","27","108"
"38","Corpses 'N Souls","15","225","15","15","46","184"
"39","Super Mutant Alien Assault","15","480","32","32","15","60"
