"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 03:15","https://sullygnome.com/channel/levelupludo/stream/35106899792","285","6270","22","32","-1","0","103","21","FINAL FANTASY XIV ONLINE"
"2","Tuesday 30th July 2019 03:06","https://sullygnome.com/channel/levelupludo/stream/35093913488","399","14364","36","78","10","1","230","34","Super Smash Bros. Ultimate"
"3","Sunday 28th July 2019 03:41","https://sullygnome.com/channel/levelupludo/stream/35069895024","259","5698","22","32","6","1","99","22","Super Smash Bros. Ultimate"
"4","Saturday 27th July 2019 03:07","https://sullygnome.com/channel/levelupludo/stream/35057870848","398","11940","30","44","3","0","184","27","Persona 5"
"5","Friday 26th July 2019 03:08","https://sullygnome.com/channel/levelupludo/stream/35046087360","382","13752","36","61","4","0","279","42","Persona 5"
"6","Thursday 25th July 2019 03:04","https://sullygnome.com/channel/levelupludo/stream/35033998416","371","9646","26","46","3","0","172","27","Persona 5"
"7","Wednesday 24th July 2019 03:05","https://sullygnome.com/channel/levelupludo/stream/35021790128","295","9440","32","41","3","0","155","31","Luigi's Mansion"
"8","Monday 22nd July 2019 03:22","https://sullygnome.com/channel/levelupludo/stream/34997349456","308","7700","25","32","3","0","151","28","Pikmin 3"
"9","Sunday 21st July 2019 03:46","https://sullygnome.com/channel/levelupludo/stream/34985355584","314","8478","27","43","2","0","133","25","Pikmin 3"
"10","Saturday 20th July 2019 03:10","https://sullygnome.com/channel/levelupludo/stream/34971502128","95","1520","16","19","0","0","28","16","Splatoon 2"
"11","Friday 19th July 2019 03:06","https://sullygnome.com/channel/levelupludo/stream/34959033792","354","11682","33","45","6","1","177","29","Persona 5"
"12","Thursday 18th July 2019 03:03","https://sullygnome.com/channel/levelupludo/stream/34946611968","342","8892","26","41","3","0","138","23","Persona 5"
"13","Wednesday 17th July 2019 03:28","https://sullygnome.com/channel/levelupludo/stream/34934205824","332","10292","31","48","2","0","178","30","Persona 5"
"14","Tuesday 16th July 2019 00:07","https://sullygnome.com/channel/levelupludo/stream/34919548160","533","11193","21","32","3","0","162","18","Custom Robo,Persona 5"
"15","Monday 15th July 2019 03:13","https://sullygnome.com/channel/levelupludo/stream/34909193744","332","5312","16","25","1","0","141","24","Custom Robo"
"16","Saturday 13th July 2019 03:12","https://sullygnome.com/channel/levelupludo/stream/34884240608","483","11109","23","31","2","0","123","14","Custom Robo"
"17","Friday 12th July 2019 03:19","https://sullygnome.com/channel/levelupludo/stream/34871905232","326","8150","25","38","6","1","137","23","Persona 5"
"18","Thursday 11th July 2019 03:22","https://sullygnome.com/channel/levelupludo/stream/34859520784","338","9802","29","69","4","0","161","28","Persona 5"
"19","Wednesday 10th July 2019 03:07","https://sullygnome.com/channel/levelupludo/stream/34846865808","338","10140","30","67","5","0","163","28","Persona 5"
"20","Tuesday 9th July 2019 02:38","https://sullygnome.com/channel/levelupludo/stream/34834024272","382","9168","24","31","5","0","123","18","Jak and Daxter: The Precursor Legacy,Persona 5"
"21","Sunday 7th July 2019 03:25","https://sullygnome.com/channel/levelupludo/stream/34809494848","320","8640","27","35","3","0","127","23","Jak and Daxter: The Precursor Legacy"
"22","Saturday 6th July 2019 03:03","https://sullygnome.com/channel/levelupludo/stream/34796727616","312","9048","29","47","1","0","154","28","Super Mario Maker 2"
"23","Thursday 4th July 2019 23:01","https://sullygnome.com/channel/levelupludo/stream/34782614864","644","19964","31","67","14","1","340","31","Kirby Air Ride,Super Mario Maker 2"
"24","Thursday 4th July 2019 03:09","https://sullygnome.com/channel/levelupludo/stream/34772930256","336","8400","25","40","2","0","169","32","Persona 5"
"25","Wednesday 3rd July 2019 02:58","https://sullygnome.com/channel/levelupludo/stream/34760367696","362","9774","27","53","3","0","188","30","Persona 5"
"26","Tuesday 2nd July 2019 03:09","https://sullygnome.com/channel/levelupludo/stream/34747913456","306","9792","32","44","3","0","179","34","Super Mario Maker 2"
