"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","FINAL FANTASY XIV ONLINE","1980","5940","2","8","166","5.030303"
"2","PUBG: BATTLEGROUNDS","1620","5925","3","11","148","5.481481"
"3","Ring of Elysium","1440","3840","2","8","106","4.416666"
"4","Teamfight Tactics","600","1125","1","9","69","6.9"
"5","World of Warships","465","1590","2","8","57","7.354838"
"6","Apex Legends","195","495","1","5","14","4.307692"
"7","Tom Clancy's Rainbow Six Siege","150","600","4","5","12","4.8"
"8","Chill","75","210","2","4","7","5.6"
"9","Just Chatting","45","210","4","8","5","6.666666"
"10","Warface","15","15","1","1","4","16"
