"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 07:00","https://sullygnome.com/channel/lordlynkz/stream/35108518784","60","120","2","3","0","0","2","1","Dota Underlords"
"2","Tuesday 30th July 2019 05:45","https://sullygnome.com/channel/lordlynkz/stream/35095088048","75","150","2","2","0","0","11","7","Dota Underlords"
"3","Monday 29th July 2019 06:15","https://sullygnome.com/channel/lordlynkz/stream/35082761488","45","45","1","3","0","0","1","1","Dota Underlords"
"4","Monday 29th July 2019 01:45","https://sullygnome.com/channel/lordlynkz/stream/35080815216","240","480","2","5","1","0","11","2","For Honor"
"5","Sunday 28th July 2019 06:45","https://sullygnome.com/channel/lordlynkz/stream/35070982736","30","60","2","3","0","0","0","0","For Honor"
"6","Friday 26th July 2019 19:15","https://sullygnome.com/channel/lordlynkz/stream/35052944784","150","450","3","6","0","0","13","4","For Honor"
"7","Friday 26th July 2019 05:45","https://sullygnome.com/channel/lordlynkz/stream/35047221952","105","210","2","4","0","0","5","2","Teamfight Tactics"
"8","Thursday 25th July 2019 05:45","https://sullygnome.com/channel/lordlynkz/stream/35035182032","60","120","2","3","0","0","4","3","Teamfight Tactics"
"9","Wednesday 24th July 2019 08:00","https://sullygnome.com/channel/lordlynkz/stream/35023520544","30","30","1","2","0","0","0","0","Fortnite"
"10","Tuesday 23rd July 2019 02:30","https://sullygnome.com/channel/lordlynkz/stream/35009083328","105","105","1","3","0","0","2","1","Teamfight Tactics"
"11","Monday 22nd July 2019 07:30","https://sullygnome.com/channel/lordlynkz/stream/34998815760","120","360","3","4","0","0","2","0","Teamfight Tactics"
"12","Sunday 21st July 2019 03:14","https://sullygnome.com/channel/lordlynkz/stream/34985085584","181","905","5","8","0","0","8","2","Teamfight Tactics"
"13","Saturday 20th July 2019 18:00","https://sullygnome.com/channel/lordlynkz/stream/34979044912","30","60","2","3","0","0","0","0","Fortnite"
"14","Saturday 20th July 2019 06:00","https://sullygnome.com/channel/lordlynkz/stream/34972879344","120","240","2","6","0","0","17","7","Teamfight Tactics"
"15","Friday 19th July 2019 04:45","https://sullygnome.com/channel/lordlynkz/stream/34959801408","150","450","3","6","0","0","7","2","Apex Legends"
"16","Thursday 18th July 2019 05:45","https://sullygnome.com/channel/lordlynkz/stream/34947798640","90","270","3","3","0","0","5","2","Dota Underlords"
"17","Wednesday 17th July 2019 09:45","https://sullygnome.com/channel/lordlynkz/stream/34936386608","30","30","1","1","0","0","3","4","Dota Underlords"
"18","Tuesday 16th July 2019 05:45","https://sullygnome.com/channel/lordlynkz/stream/34922532736","60","120","2","6","0","0","1","0","Dota Underlords"
"19","Monday 15th July 2019 05:30","https://sullygnome.com/channel/lordlynkz/stream/34910117824","105","315","3","5","0","0","7","3","Teamfight Tactics"
"20","Sunday 14th July 2019 06:00","https://sullygnome.com/channel/lordlynkz/stream/34897974384","75","75","1","2","0","0","3","2","Dota Underlords"
"21","Saturday 13th July 2019 06:45","https://sullygnome.com/channel/lordlynkz/stream/34885851600","60","60","1","1","0","0","3","2","Teamfight Tactics"
"22","Friday 12th July 2019 06:15","https://sullygnome.com/channel/lordlynkz/stream/34873131984","90","270","3","4","0","0","6","3","Teamfight Tactics"
"23","Thursday 11th July 2019 06:14","https://sullygnome.com/channel/lordlynkz/stream/34860706912","61","183","3","5","0","0","4","3","Dota Underlords,Teamfight Tactics"
"24","Wednesday 10th July 2019 07:45","https://sullygnome.com/channel/lordlynkz/stream/34848675472","60","60","1","3","0","0","2","1","Dota Underlords"
"25","Tuesday 9th July 2019 05:00","https://sullygnome.com/channel/lordlynkz/stream/34835168464","90","90","1","2","0","0","2","1","Dota Underlords"
"26","Monday 8th July 2019 06:00","https://sullygnome.com/channel/lordlynkz/stream/34823011776","15","30","2","2","0","0","1","2","Teamfight Tactics"
"27","Sunday 7th July 2019 06:00","https://sullygnome.com/channel/lordlynkz/stream/34810637840","30","60","2","4","0","0","2","2","Teamfight Tactics"
"28","Sunday 7th July 2019 05:30","https://sullygnome.com/channel/lordlynkz/stream/34810360624","0","0","3","3","0","0","0","0","Teamfight Tactics"
"29","Saturday 6th July 2019 03:30","https://sullygnome.com/channel/lordlynkz/stream/34796887824","105","630","6","8","0","0","13","6","Age of Empires II,Dota Underlords"
"30","Friday 5th July 2019 05:00","https://sullygnome.com/channel/lordlynkz/stream/34785403328","135","405","3","5","0","0","10","4","Teamfight Tactics"
"31","Thursday 4th July 2019 05:38","https://sullygnome.com/channel/lordlynkz/stream/34774101472","142","568","4","7","0","0","12","4","Teamfight Tactics"
"32","Wednesday 3rd July 2019 06:15","https://sullygnome.com/channel/lordlynkz/stream/34761604384","45","45","1","2","0","0","0","0","Teamfight Tactics"
"33","Tuesday 2nd July 2019 05:00","https://sullygnome.com/channel/lordlynkz/stream/34748728832","60","180","3","4","0","0","4","3","Auto Chess"
"34","Monday 1st July 2019 02:45","https://sullygnome.com/channel/lordlynkz/stream/34735481312","165","495","3","5","0","0","10","3","Dota Underlords,Auto Chess"
