"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Disgaea 5: Alliance of Vengeance","420","735","1","4","12","1.714285"
"2","Octopath Traveler","360","780","1","6","25","4.166666"
"3","Resident Evil 4","285","840","2","5","22","4.631578"
"4","Colony Survival","255","465","1","2","3","0.705882"
"5","Age of Empires II","225","1095","4","12","28","7.466666"
"6","Path of Exile","210","225","1","2","3","0.857142"
"7","The Elder Scrolls V: Skyrim","135","300","2","3","4","1.777777"
"8","Sea of Thieves","105","135","1","2","6","3.428571"
"9","Just Chatting","30","45","1","2","0","0"
"10","Valkyria Chronicles","15","15","1","1","0","0"
"11","Destiny","15","15","1","1","2","8"
