"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Tuesday 30th July 2019 21:00","https://sullygnome.com/channel/luckycatlioness/stream/35102426848","285","1710","6","9","2","0","36","7","Destiny 2"
"2","Monday 29th July 2019 21:39","https://sullygnome.com/channel/luckycatlioness/stream/35090414352","186","1488","8","13","4","1","20","6","Destiny 2"
"3","Saturday 27th July 2019 21:15","https://sullygnome.com/channel/luckycatlioness/stream/35066238512","180","720","4","8","3","0","11","3","Destiny 2"
"4","Saturday 27th July 2019 17:00","https://sullygnome.com/channel/luckycatlioness/stream/35063453920","135","270","2","5","1","0","12","4","Destiny 2"
"5","Saturday 27th July 2019 00:00","https://sullygnome.com/channel/luckycatlioness/stream/35056019216","135","270","2","6","0","0","4","1","Destiny 2"
"6","Friday 26th July 2019 12:13","https://sullygnome.com/channel/luckycatlioness/stream/35049296144","62","496","8","12","0","0","13","10","Destiny 2"
"7","Thursday 25th July 2019 21:11","https://sullygnome.com/channel/luckycatlioness/stream/35042401200","199","1791","9","13","1","0","36","10","Destiny 2"
"8","Tuesday 23rd July 2019 23:39","https://sullygnome.com/channel/luckycatlioness/stream/35019615344","96","864","9","14","1","0","28","16","Destiny 2"
"9","Tuesday 23rd July 2019 21:00","https://sullygnome.com/channel/luckycatlioness/stream/35017904704","120","960","8","12","0","0","25","11","Destiny 2"
"10","Sunday 21st July 2019 13:56","https://sullygnome.com/channel/luckycatlioness/stream/34989207840","349","2443","7","11","2","0","29","4","Destiny 2"
"11","Sunday 21st July 2019 00:30","https://sullygnome.com/channel/luckycatlioness/stream/34983561168","180","540","3","7","1","0","12","3","Destiny 2"
"12","Saturday 20th July 2019 20:15","https://sullygnome.com/channel/luckycatlioness/stream/34980617968","90","450","5","8","0","0","9","5","Destiny 2"
"13","Thursday 18th July 2019 20:53","https://sullygnome.com/channel/luckycatlioness/stream/34955096064","277","1385","5","12","3","0","31","6","Destiny 2"
"14","Tuesday 16th July 2019 21:02","https://sullygnome.com/channel/luckycatlioness/stream/34930078352","253","1518","6","10","0","0","28","6","Destiny 2"
"15","Saturday 13th July 2019 14:11","https://sullygnome.com/channel/luckycatlioness/stream/34888668784","559","3913","7","12","5","0","31","3","Destiny 2"
"16","Thursday 11th July 2019 20:56","https://sullygnome.com/channel/luckycatlioness/stream/34867864000","229","1603","7","12","0","0","18","4","Destiny 2"
"17","Wednesday 10th July 2019 21:30","https://sullygnome.com/channel/luckycatlioness/stream/34855625696","225","1800","8","13","4","1","32","8","Destiny 2"
"18","Tuesday 9th July 2019 19:30","https://sullygnome.com/channel/luckycatlioness/stream/34841890576","345","2415","7","11","-2","0","28","4","Destiny 2"
"19","Sunday 7th July 2019 18:38","https://sullygnome.com/channel/luckycatlioness/stream/34816587328","187","1309","7","11","1","0","13","4","Unlisted on Twitch,Destiny 2"
"20","Sunday 7th July 2019 16:50","https://sullygnome.com/channel/luckycatlioness/stream/34815331632","55","165","3","5","0","0","9","9","Unlisted on Twitch"
"21","Sunday 7th July 2019 13:38","https://sullygnome.com/channel/luckycatlioness/stream/34813566016","112","336","3","5","0","0","14","7","Unlisted on Twitch"
"22","Sunday 7th July 2019 13:00","https://sullygnome.com/channel/luckycatlioness/stream/34813268576","0","0","2","4","0","0","5","20","Unlisted on Twitch"
"23","Thursday 4th July 2019 20:37","https://sullygnome.com/channel/luckycatlioness/stream/34781253536","203","1421","7","12","0","0","6","1","Unlisted on Twitch"
"24","Tuesday 2nd July 2019 20:39","https://sullygnome.com/channel/luckycatlioness/stream/34756304896","336","1344","4","8","0","0","11","1","Unlisted on Twitch"
