"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 16:30","https://sullygnome.com/channel/lucy_yukky/stream/35112617040","210","0","0","3","0","0","13","3","Fire Emblem: Three Houses"
"2","Monday 29th July 2019 17:30","https://sullygnome.com/channel/lucy_yukky/stream/35087381152","180","180","1","3","1","0","8","2","Fire Emblem: Three Houses"
"3","Sunday 28th July 2019 13:30","https://sullygnome.com/channel/lucy_yukky/stream/35073536976","255","255","1","4","1","0","16","3","Fire Emblem: Three Houses"
"4","Sunday 28th July 2019 06:45","https://sullygnome.com/channel/lucy_yukky/stream/35071114720","165","990","6","9","1","0","40","13","Fire Emblem: Three Houses"
"5","Saturday 27th July 2019 06:11","https://sullygnome.com/channel/lucy_yukky/stream/35059267552","919","2757","3","9","4","0","68","4","Fire Emblem: Three Houses"
"6","Friday 26th July 2019 17:30","https://sullygnome.com/channel/lucy_yukky/stream/35051966384","255","255","1","5","0","0","18","4","Fire Emblem: Three Houses"
"7","Wednesday 24th July 2019 16:45","https://sullygnome.com/channel/lucy_yukky/stream/35027236352","105","105","1","4","0","0","16","8","One Finger Death Punch 2,Pokémon: Let's Go, Pikachu!"
"8","Sunday 21st July 2019 15:15","https://sullygnome.com/channel/lucy_yukky/stream/34989895232","120","240","2","6","0","0","21","9","Pokémon: Let's Go, Pikachu!,Bayonetta"
"9","Sunday 21st July 2019 13:45","https://sullygnome.com/channel/lucy_yukky/stream/34989053904","45","45","1","1","0","0","2","2","Pokémon: Let's Go, Pikachu!"
"10","Saturday 20th July 2019 13:51","https://sullygnome.com/channel/lucy_yukky/stream/34975540704","129","387","3","5","0","0","34","11","Unlisted on Twitch,Pokémon: Let's Go, Pikachu!"
"11","Tuesday 9th July 2019 18:30","https://sullygnome.com/channel/lucy_yukky/stream/34840896960","90","90","1","3","0","0","7","4","Super Animal Royale"
