"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 21:30","https://sullygnome.com/channel/luneze/stream/35116040624","165","15675","95","114","36","12","934","311","Fortnite"
"2","Monday 29th July 2019 20:42","https://sullygnome.com/channel/luneze/stream/35089791488","363","56628","156","204","94","15","2739","438","Just Chatting,Fortnite,osu!"
"3","Monday 22nd July 2019 22:05","https://sullygnome.com/channel/luneze/stream/35004417472","160","20640","129","183","158","28","2298","417","Fortnite,Unlisted on Twitch,Just Chatting,osu!"
"4","Sunday 21st July 2019 17:28","https://sullygnome.com/channel/luneze/stream/34991219168","467","62111","133","209","152","19","3802","490","Fortnite"
"5","Saturday 20th July 2019 17:54","https://sullygnome.com/channel/luneze/stream/34978995920","231","9471","41","55","20","5","725","181","Fortnite,osu!"
"6","Friday 19th July 2019 21:26","https://sullygnome.com/channel/luneze/stream/34967942816","274","19180","70","99","61","12","1182","248","Fortnite"
"7","Thursday 18th July 2019 20:56","https://sullygnome.com/channel/luneze/stream/34955135792","289","79764","276","1177","311","62","3900","780","Fortnite"
"8","Wednesday 17th July 2019 21:32","https://sullygnome.com/channel/luneze/stream/34943045952","388","181196","467","3218","700","107","9480","1458","Fortnite,osu!"
"9","Wednesday 17th July 2019 00:45","https://sullygnome.com/channel/luneze/stream/34927898400","375","32625","87","264","223","16","4546","343","Fortnite,osu!"
"10","Sunday 14th July 2019 20:11","https://sullygnome.com/channel/luneze/stream/34905005024","259","46879","181","299","130","28","2357","523","Fortnite"
"11","Saturday 13th July 2019 20:12","https://sullygnome.com/channel/luneze/stream/34892490656","258","33024","128","222","83","19","1468","345","Fortnite"
"12","Friday 12th July 2019 20:49","https://sullygnome.com/channel/luneze/stream/34880273952","251","10793","43","56","15","3","563","132","Fortnite"
"13","Friday 12th July 2019 00:39","https://sullygnome.com/channel/luneze/stream/34870247152","111","5772","52","72","6","3","301","150","Fortnite"
"14","Thursday 11th July 2019 00:15","https://sullygnome.com/channel/luneze/stream/34857578368","315","30555","97","211","62","11","1597","290","Fortnite,osu!"
"15","Wednesday 10th July 2019 02:30","https://sullygnome.com/channel/luneze/stream/34846311984","0","0","47","50","6","24","123","492","Fortnite"
"16","Tuesday 9th July 2019 20:24","https://sullygnome.com/channel/luneze/stream/34842550112","336","24528","73","106","65","11","1365","248","Fortnite,osu!,Satisfactory"
"17","Monday 8th July 2019 21:21","https://sullygnome.com/channel/luneze/stream/34830680832","279","18414","66","81","40","8","919","193","Fortnite"
"18","Sunday 7th July 2019 21:48","https://sullygnome.com/channel/luneze/stream/34818785008","432","25488","59","92","37","5","1392","192","Fortnite,osu!"
"19","Saturday 6th July 2019 20:29","https://sullygnome.com/channel/luneze/stream/34805325744","421","22313","53","64","25","3","1191","170","Fortnite,osu!"
"20","Friday 5th July 2019 21:30","https://sullygnome.com/channel/luneze/stream/34793263184","480","67200","140","619","163","19","5449","660","Fortnite,osu!"
"21","Friday 5th July 2019 01:10","https://sullygnome.com/channel/luneze/stream/34783664928","290","20300","70","107","35","7","866","182","Fortnite,osu!,Just Chatting"
"22","Wednesday 3rd July 2019 21:21","https://sullygnome.com/channel/luneze/stream/34769371168","309","23175","75","118","51","9","1162","221","Fortnite"
"23","Wednesday 3rd July 2019 05:45","https://sullygnome.com/channel/luneze/stream/34761654992","90","3870","43","48","48","32","197","131","Fortnite"
"24","Tuesday 2nd July 2019 20:44","https://sullygnome.com/channel/luneze/stream/34756366672","211","11816","56","78","20","5","645","184","Fortnite,osu!"
"25","Tuesday 2nd July 2019 02:14","https://sullygnome.com/channel/luneze/stream/34747397568","226","15820","70","95","19","5","653","186","Fortnite"
"26","Monday 1st July 2019 19:18","https://sullygnome.com/channel/luneze/stream/34742953904","237","13272","56","67","26","6","755","188","Fortnite"
