"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 17:30","https://sullygnome.com/channel/lusitanoyt/stream/35113042480","90","90","1","3","2","1","0","0","Call of Duty: Black Ops 4"
"2","Tuesday 30th July 2019 17:30","https://sullygnome.com/channel/lusitanoyt/stream/35099935104","60","60","1","4","0","0","0","0","Call of Duty: Black Ops 4"
"3","Friday 26th July 2019 16:00","https://sullygnome.com/channel/lusitanoyt/stream/35051074448","90","90","1","3","0","0","3","1","Call of Duty: Black Ops 4"
"4","Thursday 25th July 2019 17:30","https://sullygnome.com/channel/lusitanoyt/stream/35039627472","90","90","1","3","2","1","0","0","Call of Duty: Black Ops 4"
"5","Wednesday 24th July 2019 17:30","https://sullygnome.com/channel/lusitanoyt/stream/35027426672","45","45","1","3","0","0","0","0","Call of Duty: Black Ops 4"
"6","Monday 22nd July 2019 20:45","https://sullygnome.com/channel/lusitanoyt/stream/35005374480","105","105","1","3","0","0","3","1","Call of Duty: Black Ops 4"
"7","Friday 19th July 2019 17:45","https://sullygnome.com/channel/lusitanoyt/stream/34965195664","75","75","1","3","0","0","2","1","Call of Duty: Black Ops 4"
"8","Friday 19th July 2019 16:45","https://sullygnome.com/channel/lusitanoyt/stream/34964478784","0","0","1","1","0","0","0","0","Call of Duty: Black Ops 4"
"9","Monday 15th July 2019 16:45","https://sullygnome.com/channel/lusitanoyt/stream/34914537136","60","60","1","3","0","0","2","1","Call of Duty: Black Ops 4"
"10","Friday 12th July 2019 17:30","https://sullygnome.com/channel/lusitanoyt/stream/34877804496","75","150","2","4","1","0","2","1","Call of Duty: Black Ops 4"
"11","Wednesday 10th July 2019 17:15","https://sullygnome.com/channel/lusitanoyt/stream/34852727008","60","120","2","5","1","0","5","4","Call of Duty: Black Ops 4"
"12","Monday 8th July 2019 18:00","https://sullygnome.com/channel/lusitanoyt/stream/34828144336","45","45","1","2","0","0","0","0","Call of Duty: Black Ops 4"
"13","Friday 5th July 2019 16:15","https://sullygnome.com/channel/lusitanoyt/stream/34789677584","375","750","2","9","3","0","8","1","Call of Duty: Black Ops 4"
"14","Thursday 4th July 2019 17:43","https://sullygnome.com/channel/lusitanoyt/stream/34779221824","92","276","3","5","0","0","1","0","Call of Duty: Black Ops 4"
"15","Wednesday 3rd July 2019 18:00","https://sullygnome.com/channel/lusitanoyt/stream/34766385440","45","180","4","5","0","0","1","1","Call of Duty: Black Ops 4"
"16","Tuesday 2nd July 2019 17:15","https://sullygnome.com/channel/lusitanoyt/stream/34753709840","60","60","1","2","2","1","2","1","Call of Duty: Black Ops 4"
"17","Monday 1st July 2019 16:45","https://sullygnome.com/channel/lusitanoyt/stream/34741151072","135","405","3","5","1","0","4","1","Call of Duty: Black Ops 4"
