"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 01:56","https://sullygnome.com/channel/mycraftisbest/stream/35106024560","154","1694","11","17","3","1","27","10","Super Mario Maker 2"
"2","Monday 29th July 2019 23:55","https://sullygnome.com/channel/mycraftisbest/stream/35091878688","275","2750","10","14","2","0","50","10","Super Mario Maker 2"
"3","Sunday 28th July 2019 23:59","https://sullygnome.com/channel/mycraftisbest/stream/35079823152","346","5536","16","21","1","0","63","10","Super Mario Maker 2"
"4","Sunday 28th July 2019 02:01","https://sullygnome.com/channel/mycraftisbest/stream/35068989648","209","1881","9","12","1","0","20","6","Splatoon 2"
"5","Friday 26th July 2019 02:00","https://sullygnome.com/channel/mycraftisbest/stream/35045362720","150","1950","13","20","3","1","32","11","Super Mario Maker 2"
"6","Wednesday 24th July 2019 03:24","https://sullygnome.com/channel/mycraftisbest/stream/35021480192","66","726","11","17","1","0","52","26","Super Mario Maker 2"
"7","Wednesday 24th July 2019 01:55","https://sullygnome.com/channel/mycraftisbest/stream/35021088416","20","160","8","13","0","0","5","10","Super Mario Maker 2"
"8","Tuesday 23rd July 2019 01:37","https://sullygnome.com/channel/mycraftisbest/stream/35008511952","203","2030","10","14","2","0","23","6","Super Mario Maker 2"
"9","Monday 22nd July 2019 23:54","https://sullygnome.com/channel/mycraftisbest/stream/35007380288","51","969","19","41","0","0","5","6","Super Mario Maker 2"
"10","Monday 22nd July 2019 00:57","https://sullygnome.com/channel/mycraftisbest/stream/34996011056","258","3612","14","22","3","0","40","8","Super Mario Maker 2"
"11","Sunday 21st July 2019 01:54","https://sullygnome.com/channel/mycraftisbest/stream/34984353856","186","1674","9","13","1","0","32","9","Splatoon 2"
"12","Friday 19th July 2019 01:55","https://sullygnome.com/channel/mycraftisbest/stream/34958326608","125","1375","11","14","1","0","31","13","Quiplash"
"13","Wednesday 17th July 2019 01:59","https://sullygnome.com/channel/mycraftisbest/stream/34933330496","151","2416","16","24","2","0","38","15","Super Mario Maker 2"
"14","Monday 15th July 2019 23:55","https://sullygnome.com/channel/mycraftisbest/stream/34919408656","245","4410","18","35","14","3","121","30","Super Mario Maker 2"
"15","Monday 15th July 2019 00:54","https://sullygnome.com/channel/mycraftisbest/stream/34907891648","276","3864","14","18","11","2","105","22","Super Mario Maker 2"
"16","Sunday 14th July 2019 02:59","https://sullygnome.com/channel/mycraftisbest/stream/34896559168","76","760","10","13","3","2","24","19","Splatoon 2"
"17","Sunday 14th July 2019 02:15","https://sullygnome.com/channel/mycraftisbest/stream/34896169296","30","180","6","11","0","0","11","14","Splatoon 2"
"18","Saturday 13th July 2019 01:55","https://sullygnome.com/channel/mycraftisbest/stream/34883459504","170","1870","11","15","3","1","57","19","Super Mario Maker 2"
"19","Friday 12th July 2019 01:55","https://sullygnome.com/channel/mycraftisbest/stream/34871079504","185","2035","11","24","5","1","42","12","Super Mario Maker 2"
"20","Wednesday 10th July 2019 02:13","https://sullygnome.com/channel/mycraftisbest/stream/34846185648","167","3340","20","30","21","6","103","31","Super Mario Maker 2"
"21","Monday 8th July 2019 23:56","https://sullygnome.com/channel/mycraftisbest/stream/34832303072","289","2890","10","16","7","1","84","16","Super Mario Maker 2"
"22","Monday 8th July 2019 00:55","https://sullygnome.com/channel/mycraftisbest/stream/34820641136","290","5510","19","32","11","2","111","22","Super Mario Maker 2"
"23","Sunday 7th July 2019 01:55","https://sullygnome.com/channel/mycraftisbest/stream/34808635536","185","2775","15","24","6","1","75","23","Splatoon 2"
"24","Thursday 4th July 2019 23:55","https://sullygnome.com/channel/mycraftisbest/stream/34783058080","260","4680","18","25","11","2","66","15","Super Mario Maker 2"
"25","Monday 1st July 2019 23:55","https://sullygnome.com/channel/mycraftisbest/stream/34745918064","260","3640","14","27","5","1","69","15","Super Mario Maker 2"
"26","Monday 1st July 2019 00:58","https://sullygnome.com/channel/mycraftisbest/stream/34734611904","302","3926","13","19","5","1","52","10","Super Mario Maker 2"
