"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Saturday 20th July 2019 11:29","https://sullygnome.com/channel/madyaak188/stream/34974756096","106","742","7","10","2","1","27","15","Grand Theft Auto V"
"2","Friday 19th July 2019 17:45","https://sullygnome.com/channel/madyaak188/stream/34965191168","60","180","3","6","0","0","13","10","Grand Theft Auto V"
"3","Friday 19th July 2019 10:00","https://sullygnome.com/channel/madyaak188/stream/34961546016","120","1920","16","26","4","1","50","22","Grand Theft Auto V"
"4","Thursday 18th July 2019 00:30","https://sullygnome.com/channel/madyaak188/stream/34944988320","15","0","0","1","0","0","1","2","Counter-Strike: Global Offensive"
"5","Monday 15th July 2019 03:45","https://sullygnome.com/channel/madyaak188/stream/34909384784","15","30","2","3","0","0","7","14","Just Chatting"
"6","Saturday 13th July 2019 22:15","https://sullygnome.com/channel/madyaak188/stream/34893676384","75","225","3","6","0","0","8","5","Grand Theft Auto V"
"7","Saturday 13th July 2019 20:00","https://sullygnome.com/channel/madyaak188/stream/34892104608","0","0","3","3","0","0","0","0","Grand Theft Auto V"
"8","Saturday 13th July 2019 18:45","https://sullygnome.com/channel/madyaak188/stream/34891325408","45","315","7","9","0","0","12","12","Grand Theft Auto V"
"9","Saturday 13th July 2019 02:15","https://sullygnome.com/channel/madyaak188/stream/34883403824","135","405","3","6","0","0","11","4","Golf It!,Counter-Strike: Global Offensive"
"10","Saturday 13th July 2019 01:45","https://sullygnome.com/channel/madyaak188/stream/34883318832","0","0","4","5","0","0","2","8","Golf It!"
"11","Friday 12th July 2019 23:54","https://sullygnome.com/channel/madyaak188/stream/34882199104","81","243","3","5","0","0","9","6","Grand Theft Auto V"
"12","Friday 12th July 2019 21:30","https://sullygnome.com/channel/madyaak188/stream/34880611856","15","60","4","5","0","0","0","0","Grand Theft Auto V"
"13","Friday 12th July 2019 10:44","https://sullygnome.com/channel/madyaak188/stream/34874546272","151","1208","8","13","3","1","38","13","Grand Theft Auto V"
"14","Thursday 11th July 2019 13:24","https://sullygnome.com/channel/madyaak188/stream/34862557024","156","1716","11","16","4","1","62","15","Grand Theft Auto V"
"15","Wednesday 10th July 2019 21:30","https://sullygnome.com/channel/madyaak188/stream/34855744112","15","0","0","0","0","0","0","0","Grand Theft Auto V"
