"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Saturday 27th July 2019 20:02","https://sullygnome.com/channel/martinhello/stream/35065506208","163","2282","14","18","1","0","13","5","Art"
"2","Friday 26th July 2019 16:10","https://sullygnome.com/channel/martinhello/stream/35051161696","95","475","5","7","0","0","23","13","Tetris Effect"
"3","Wednesday 24th July 2019 20:17","https://sullygnome.com/channel/martinhello/stream/35029678160","148","1480","10","12","0","0","17","6","Art"
"4","Wednesday 24th July 2019 07:45","https://sullygnome.com/channel/martinhello/stream/35023583056","150","600","4","7","3","1","26","9","Tetris Effect"
"5","Monday 22nd July 2019 02:02","https://sullygnome.com/channel/martinhello/stream/34996641392","118","1180","10","17","1","0","16","8","Art"
"6","Saturday 20th July 2019 19:02","https://sullygnome.com/channel/martinhello/stream/34979974048","163","3097","19","22","1","0","39","15","Art"
"7","Tuesday 16th July 2019 20:00","https://sullygnome.com/channel/martinhello/stream/34929360000","120","2400","20","23","2","1","33","16","Art"
"8","Tuesday 16th July 2019 12:30","https://sullygnome.com/channel/martinhello/stream/34924677744","105","735","7","12","0","0","18","9","Tetris,Art"
"9","Saturday 13th July 2019 18:57","https://sullygnome.com/channel/martinhello/stream/34891600592","168","2856","17","20","7","2","56","18","Art,Tetris"
"10","Thursday 11th July 2019 16:03","https://sullygnome.com/channel/martinhello/stream/34864493136","192","2304","12","16","0","0","43","14","Art"
"11","Wednesday 10th July 2019 13:11","https://sullygnome.com/channel/martinhello/stream/34850557408","154","3080","20","39","7","2","112","44","Art"
"12","Tuesday 9th July 2019 16:45","https://sullygnome.com/channel/martinhello/stream/34839758960","45","270","6","8","1","1","6","6","FINAL FANTASY III"
"13","Saturday 6th July 2019 15:09","https://sullygnome.com/channel/martinhello/stream/34801815664","96","1344","14","20","0","0","26","14","Art"
"14","Friday 5th July 2019 19:37","https://sullygnome.com/channel/martinhello/stream/34792017664","158","3476","22","29","7","2","44","16","Art"
"15","Friday 5th July 2019 16:05","https://sullygnome.com/channel/martinhello/stream/34789647712","85","1360","16","21","1","0","25","16","Art"
"16","Thursday 4th July 2019 18:58","https://sullygnome.com/channel/martinhello/stream/34780107920","137","1781","13","17","1","0","38","15","ISLANDERS"
