"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Dead by Daylight","1185","2220","1","7","155","7.848101"
"2","ARK: Survival Evolved","660","1155","1","3","30","2.727272"
"3","Grand Theft Auto V","480","1095","1","5","42","5.25"
"4","Beat Saber","345","885","2","5","77","13.391304"
"5","Rocket League","225","375","1","3","18","4.8"
"6","American Truck Simulator","210","315","1","3","27","7.714285"
"7","Euro Truck Simulator 2","195","240","1","2","13","4"
"8","Sniper Elite 4","165","225","1","3","28","10.181818"
"9","Human: Fall Flat","135","255","1","3","5","2.222222"
"10","Fortnite","105","150","1","3","12","6.857142"
"11","Twitch Sings","75","405","4","9","29","23.2"
"12","X-Plane 11","60","210","3","5","10","10"
"13","Unlisted on Twitch","45","195","4","5","21","28"
"14","Robo Recall","30","45","1","2","1","2"
"15","Assassin's Creed Origins","30","60","2","3","0","0"
"16","The Crew 2","30","75","2","3","1","2"
"17","SoulWorker","15","30","2","2","5","20"
