"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 15:45","https://sullygnome.com/channel/mercannn/stream/35112141520","120","0","0","3","4","1","28","12","Teamfight Tactics,Counter-Strike: Global Offensive"
"2","Thursday 25th July 2019 21:45","https://sullygnome.com/channel/mercannn/stream/35042694864","60","60","1","1","1","0","4","3","Teamfight Tactics"
"3","Thursday 25th July 2019 14:15","https://sullygnome.com/channel/mercannn/stream/35038059840","0","0","0","0","0","0","0","0","Counter-Strike: Global Offensive"
"4","Wednesday 24th July 2019 16:45","https://sullygnome.com/channel/mercannn/stream/35027131024","30","0","0","1","0","0","4","5","Teamfight Tactics"
"5","Tuesday 23rd July 2019 17:30","https://sullygnome.com/channel/mercannn/stream/35015183648","15","0","0","1","0","0","0","0","Counter-Strike: Global Offensive"
"6","Friday 19th July 2019 20:00","https://sullygnome.com/channel/mercannn/stream/34966684752","0","0","1","1","0","0","0","0","League of Legends"
"7","Monday 15th July 2019 21:30","https://sullygnome.com/channel/mercannn/stream/34917838656","45","45","1","2","1","1","1","1","Counter-Strike: Global Offensive"
"8","Friday 12th July 2019 22:15","https://sullygnome.com/channel/mercannn/stream/34881020416","45","45","1","2","0","0","13","13","Metin2,Counter-Strike: Global Offensive"
"9","Friday 12th July 2019 21:00","https://sullygnome.com/channel/mercannn/stream/34880435152","30","30","1","2","0","0","6","8","Metin2"
"10","Friday 12th July 2019 03:15","https://sullygnome.com/channel/mercannn/stream/34871659008","105","0","0","1","0","0","3","1","League of Legends"
"11","Thursday 11th July 2019 23:30","https://sullygnome.com/channel/mercannn/stream/34869499888","135","135","1","2","2","0","10","4","League of Legends"
"12","Thursday 11th July 2019 22:45","https://sullygnome.com/channel/mercannn/stream/34869046944","0","0","0","0","0","0","0","0","League of Legends"
"13","Thursday 11th July 2019 18:30","https://sullygnome.com/channel/mercannn/stream/34866109952","0","0","0","0","0","0","0","0","Counter-Strike: Global Offensive"
"14","Thursday 11th July 2019 16:15","https://sullygnome.com/channel/mercannn/stream/34864617088","75","75","1","3","-1","0","19","12","Counter-Strike: Global Offensive"
"15","Thursday 11th July 2019 15:15","https://sullygnome.com/channel/mercannn/stream/34863982208","30","30","1","3","0","0","9","12","Counter-Strike: Global Offensive"
"16","Tuesday 9th July 2019 19:30","https://sullygnome.com/channel/mercannn/stream/34840834256","0","0","2","2","0","0","0","0","Business Tour"
"17","Tuesday 9th July 2019 15:15","https://sullygnome.com/channel/mercannn/stream/34838919296","60","0","0","1","0","0","2","1","Counter-Strike: Global Offensive"
"18","Friday 5th July 2019 23:30","https://sullygnome.com/channel/mercannn/stream/34794424672","30","0","0","1","0","0","7","9","Counter-Strike: Global Offensive"
"19","Friday 5th July 2019 23:00","https://sullygnome.com/channel/mercannn/stream/34794086400","0","0","0","1","0","0","7","28","Counter-Strike: Global Offensive"
"20","Friday 5th July 2019 17:00","https://sullygnome.com/channel/mercannn/stream/34790183808","90","90","1","5","0","0","32","18","Counter-Strike: Global Offensive"
"21","Thursday 4th July 2019 01:00","https://sullygnome.com/channel/mercannn/stream/34771597328","30","30","1","1","0","0","2","2","Counter-Strike: Global Offensive"
"22","Wednesday 3rd July 2019 15:15","https://sullygnome.com/channel/mercannn/stream/34765105568","15","30","2","2","0","0","0","0","Counter-Strike: Global Offensive"
