"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 18:30","https://sullygnome.com/channel/missrubyfalls/stream/35114005184","195","4680","24","32","11","3","135","41","Marvel's Spider-Man"
"2","Tuesday 30th July 2019 19:46","https://sullygnome.com/channel/missrubyfalls/stream/35101770592","284","6248","22","32","7","1","176","37","Slime Rancher"
"3","Tuesday 30th July 2019 19:30","https://sullygnome.com/channel/missrubyfalls/stream/35101539808","0","0","7","7","0","0","0","0","Slime Rancher"
"4","Thursday 25th July 2019 19:37","https://sullygnome.com/channel/missrubyfalls/stream/35041368464","248","5456","22","33","-1","0","145","34","Horizon Zero Dawn"
"5","Wednesday 24th July 2019 19:28","https://sullygnome.com/channel/missrubyfalls/stream/35029101888","317","7608","24","32","4","0","168","32","Super Mario Maker 2"
"6","Tuesday 23rd July 2019 20:17","https://sullygnome.com/channel/missrubyfalls/stream/35017466624","253","5566","22","28","0","0","116","29","Makers &amp; Crafting"
"7","Thursday 18th July 2019 19:32","https://sullygnome.com/channel/missrubyfalls/stream/34954162192","268","6700","25","38","6","1","159","35","Splatoon 2"
"8","Wednesday 17th July 2019 19:24","https://sullygnome.com/channel/missrubyfalls/stream/34941558624","261","5481","21","27","2","0","115","27","Horizon Zero Dawn"
"9","Tuesday 16th July 2019 19:25","https://sullygnome.com/channel/missrubyfalls/stream/34928929040","275","6600","24","36","-3","0","156","32","Makers &amp; Crafting"
"10","Thursday 11th July 2019 19:04","https://sullygnome.com/channel/missrubyfalls/stream/34866560112","281","6463","23","30","4","0","147","30","Horizon Zero Dawn"
"11","Wednesday 10th July 2019 17:51","https://sullygnome.com/channel/missrubyfalls/stream/34853180496","174","3828","22","26","0","0","49","17","Splatoon 2"
"12","Tuesday 9th July 2019 18:45","https://sullygnome.com/channel/missrubyfalls/stream/34841212416","240","5040","21","29","-1","0","124","29","Makers &amp; Crafting"
"13","Monday 8th July 2019 18:44","https://sullygnome.com/channel/missrubyfalls/stream/34828804640","316","7900","25","34","12","2","231","44","Horizon Zero Dawn"
"14","Wednesday 3rd July 2019 18:15","https://sullygnome.com/channel/missrubyfalls/stream/34767157088","255","5610","22","35","3","0","121","26","Yoshi's Crafted World,Mario Kart 8"
"15","Tuesday 2nd July 2019 18:30","https://sullygnome.com/channel/missrubyfalls/stream/34754708912","255","5100","20","25","2","0","101","23","Makers &amp; Crafting"
"16","Monday 1st July 2019 18:07","https://sullygnome.com/channel/missrubyfalls/stream/34742080320","278","8062","29","38","8","1","180","37","Horizon Zero Dawn"
